datetime,open,high,low,close
1614902400,1.1129,1.11335,1.10248,1.10334
1614902580,1.10348,1.1042,1.09608,1.10145
1614902760,1.10128,1.10397,1.09609,1.09748
1614902940,1.09746,1.09764,1.0837,1.08458
1614903120,1.08394,1.08581,1.07132,1.08227
1614903300,1.08255,1.08861,1.0735,1.07393
1614903480,1.07414,1.08437,1.07394,1.07871
1614903660,1.07864,1.07959,1.065,1.06674
1614903840,1.06743,1.06989,1.06445,1.06951
1614904020,1.0695,1.07646,1.06649,1.06798
1614904200,1.068,1.07422,1.06184,1.07131
1614904380,1.07143,1.0745,1.06521,1.06668
1614904560,1.0667,1.07049,1.05305,1.06176
1614904740,1.06169,1.06329,1.05911,1.06147
1614904920,1.06147,1.063,1.05788,1.06
1614905100,1.06,1.06829,1.05925,1.06133
1614905280,1.06136,1.0626,1.05087,1.05248
1614905460,1.05303,1.05395,1.03891,1.04475
1614905640,1.04469,1.04549,1.03237,1.04068
1614905820,1.04068,1.04306,1.0365,1.04107
1614906000,1.04139,1.06146,1.0365,1.06146
1614906180,1.06117,1.06237,1.04466,1.05146
1614906360,1.05167,1.05197,1.04094,1.04297
1614906540,1.04283,1.04766,1.038,1.04445
1614906720,1.04439,1.04676,1.04103,1.04227
1614906900,1.04222,1.05646,1.03952,1.0463
1614907080,1.0465,1.05628,1.04542,1.04982
1614907260,1.04959,1.05085,1.03965,1.0469
1614907440,1.04693,1.05293,1.04457,1.04789
1614907620,1.04788,1.053,1.04721,1.052
1614907800,1.05199,1.06,1.0513,1.06
1614907980,1.05999,1.06207,1.0556,1.05953
1614908160,1.05943,1.06628,1.05943,1.06495
1614908340,1.06492,1.07156,1.06492,1.0677
1614908520,1.06755,1.07182,1.067,1.06735
1614908700,1.0674,1.07078,1.05891,1.06989
1614908880,1.06971,1.07618,1.0691,1.06984
1614909060,1.06985,1.07135,1.06478,1.06592
1614909240,1.06621,1.06748,1.06,1.06269
1614909420,1.06254,1.06854,1.06109,1.0657
1614909600,1.06578,1.06591,1.04801,1.04819
1614909780,1.04867,1.05729,1.04584,1.0512
1614909960,1.05157,1.05208,1.04549,1.04946
1614910140,1.04934,1.05939,1.04725,1.05621
1614910320,1.05607,1.06082,1.05407,1.06051
1614910500,1.06021,1.063,1.05575,1.06262
1614910680,1.06282,1.06622,1.06016,1.06572
1614910860,1.06581,1.06619,1.06174,1.0648
1614911040,1.06464,1.06607,1.06054,1.06197
1614911220,1.06203,1.06286,1.0565,1.05875
1614911400,1.05881,1.06372,1.05815,1.06259
1614911580,1.0626,1.06575,1.06192,1.06463
