datetime,open,high,low,close
1576742400,185.0,185.0,184.75,184.75
1576746000,184.74,186.5,182.9,185.7
1576749600,185.7,185.8,185.03,185.11
1576753200,185.12,185.31,184.98,184.98
1576756800,185.31,187.25,185.1,186.98
1576760400,186.83,188.34,184.88,186.01
1576764000,185.97,186.7,184.78,186.11
1576767600,186.11,187.47,185.6,186.8
1576771200,186.8,189.5,186.15,188.19
1576774800,188.1,188.19,186.75,186.83
1576778400,186.94,188.78,186.8,187.9
1576782000,187.9,188.44,187.0,188.26
1576785600,188.31,188.31,186.87,187.46
1576789200,187.46,188.1,186.86,187.1
1576792800,187.06,187.1,185.87,186.65
1576796400,186.65,187.34,185.5,186.14
1576800000,185.99,186.53,183.02,185.0
1576803600,184.59,185.07,183.78,184.4
1576807200,184.4,185.65,184.32,185.06
1576810800,185.05,186.65,184.92,186.4
1576814400,186.4,186.83,185.28,185.61
1576818000,185.64,186.08,184.46,184.6
1576821600,184.6,185.74,184.59,185.46
1576825200,185.51,188.27,185.4,188.24
1576828800,188.27,188.35,186.54,187.43
1576832400,187.54,188.19,186.83,187.08
1576836000,187.08,187.8,187.03,187.32
1576839600,187.33,188.66,187.27,188.43
1576843200,188.5,189.6,187.07,188.79
1576846800,188.79,189.16,187.58,188.88
1576850400,188.88,190.5,187.15,189.96
1576854000,189.7,190.34,186.16,186.59
1576857600,186.59,187.39,186.13,187.24
1576861200,187.24,188.88,187.0,188.11
1576864800,188.11,188.64,187.39,187.82
1576868400,187.82,188.41,187.41,187.68
1576872000,187.68,188.41,187.54,187.86
1576875600,187.86,187.94,186.98,187.55
1576879200,187.57,187.82,187.12,187.29
1576882800,187.27,187.75,186.57,187.41
1576886400,187.43,187.47,186.31,186.42
1576890000,186.42,186.5,185.02,185.84
1576893600,185.82,187.16,185.67,187.1
1576897200,187.06,187.55,186.46,187.33
1576900800,187.33,187.8,186.69,186.98
1576904400,186.98,187.62,186.39,187.62
1576908000,187.62,187.71,186.72,186.93
1576911600,186.92,187.07,186.5,186.74
1576915200,186.73,186.73,186.0,186.4
1576918800,186.43,186.73,185.93,186.16
1576922400,186.1,187.08,186.07,186.95
1576926000,186.92,188.49,186.52,187.86
1576929600,187.86,187.97,186.88,187.43
1576933200,187.43,187.46,186.14,186.52
1576936800,186.35,187.2,185.5,186.06
1576940400,186.05,186.94,185.63,186.82
1576944000,186.79,187.18,186.44,186.83
1576947600,186.86,186.96,185.88,186.25
1576951200,186.21,186.47,185.83,186.13
1576954800,186.13,186.53,185.87,186.22
1576958400,186.29,186.62,186.03,186.56
1576962000,186.56,187.22,186.08,186.63
1576965600,186.65,186.68,186.15,186.37
1576969200,186.39,186.57,185.5,186.21
1576972800,186.21,186.22,185.7,185.96
1576976400,185.99,186.72,185.95,186.58
1576980000,186.58,187.01,186.42,186.76
1576983600,186.79,186.95,186.36,186.78
1576987200,186.81,187.56,186.72,186.98
1576990800,186.98,187.27,186.63,186.98
1576994400,186.98,187.17,186.41,186.94
1576998000,186.94,189.45,186.67,189.44
1577001600,189.45,190.31,187.69,187.91
1577005200,187.91,188.74,187.63,187.81
1577008800,188.02,189.41,187.85,189.23
1577012400,189.2,189.27,186.76,187.0
1577016000,187.0,187.92,186.85,187.5
1577019600,187.49,188.7,187.18,187.59
1577023200,187.56,188.07,187.16,187.48
1577026800,187.48,189.17,187.26,188.53
1577030400,188.54,189.72,187.91,188.79
1577034000,188.75,192.92,188.51,191.18
1577037600,191.0,192.83,190.23,192.08
1577041200,192.08,197.1,192.08,194.31
1577044800,194.29,197.81,194.27,197.14
1577048400,197.14,197.36,195.32,196.18
1577052000,196.18,196.83,195.51,196.46
1577055600,196.37,196.9,194.72,196.19
1577059200,196.19,197.81,195.49,196.51
1577062800,196.51,197.01,195.5,196.76
1577066400,196.74,197.03,195.69,196.26
1577070000,196.26,196.92,196.14,196.59
1577073600,196.59,196.8,195.3,195.61
1577077200,195.64,195.83,194.77,195.2
1577080800,195.2,195.36,194.0,194.29
1577084400,194.4,195.38,194.11,194.8
1577088000,194.79,195.23,194.48,194.6
1577091600,194.6,195.75,194.35,195.66
1577095200,195.71,195.99,195.16,195.45
1577098800,195.45,196.91,195.43,196.41
1577102400,196.41,196.68,195.58,195.82
1577106000,195.83,196.53,195.09,195.2
1577109600,195.26,196.9,194.42,196.53
1577113200,196.53,196.74,195.46,196.6
1577116800,196.54,198.66,193.78,194.45
1577120400,194.13,195.0,190.03,191.3
1577124000,191.27,192.23,190.17,191.29
1577127600,191.32,192.4,191.11,192.31
1577131200,192.31,192.68,191.66,192.16
1577134800,192.16,192.16,190.33,191.51
1577138400,191.52,191.66,187.77,189.14
1577142000,189.23,190.17,188.81,189.61
1577145600,189.61,190.21,189.11,189.76
1577149200,189.76,190.13,189.1,189.61
1577152800,189.8,189.93,189.1,189.55
1577156400,189.55,190.5,188.97,189.18
1577160000,189.2,190.43,188.84,189.75
1577163600,189.72,191.22,189.7,191.22
1577167200,191.22,192.11,189.38,190.71
1577170800,190.73,190.89,189.33,189.87
1577174400,189.86,191.54,189.11,190.59
1577178000,190.69,191.32,189.9,190.31
1577181600,190.31,190.98,190.0,190.88
1577185200,190.91,191.4,190.21,190.68
1577188800,190.68,190.84,189.47,189.78
1577192400,189.78,190.83,189.61,190.16
1577196000,190.16,190.9,189.2,189.47
1577199600,189.47,189.6,186.22,187.23
1577203200,187.29,189.33,184.3,188.83
1577206800,188.86,189.37,186.16,186.77
1577210400,186.78,187.48,185.32,186.57
1577214000,186.57,189.49,186.15,188.68
1577217600,188.63,189.21,187.61,188.34
1577221200,188.34,190.08,187.7,189.48
1577224800,189.48,189.95,188.65,189.02
1577228400,189.02,189.27,187.08,188.34
1577232000,188.34,188.8,187.86,187.9
1577235600,187.9,187.94,187.04,187.51
1577239200,187.51,188.0,187.18,187.58
1577242800,187.58,187.96,186.91,187.73
1577246400,187.74,188.36,187.27,188.07
1577250000,188.06,188.47,187.39,187.47
1577253600,187.51,187.53,186.06,186.31
1577257200,186.34,188.36,186.01,187.61
