datetime,open,high,low,close
1614902400,229.698,229.74,227.93,228.069
1614902580,228.074,228.157,227.02,228.068
1614902760,228.041,228.229,227.0,227.199
1614902940,227.2,227.2,224.472,224.901
1614903120,224.9,225.372,223.071,224.753
1614903300,224.747,225.499,221.317,222.0
1614903480,222.0,223.4,222.0,222.47
1614903660,222.47,222.595,220.8,221.0
1614903840,221.066,222.744,220.772,222.146
1614904020,222.257,222.798,220.744,220.744
1614904200,220.779,222.652,220.2,221.434
1614904380,221.449,222.284,220.739,220.967
1614904560,220.968,221.541,219.526,221.065
1614904740,221.072,221.884,220.456,220.766
1614904920,220.778,220.904,220.0,220.612
1614905100,220.612,222.072,220.35,221.15
1614905280,221.142,221.605,220.0,220.473
1614905460,220.406,220.7,218.1,218.333
1614905640,218.418,219.687,218.363,219.394
1614905820,219.369,220.5,219.0,220.056
1614906000,220.051,220.529,218.269,220.468
1614906180,220.468,220.63,218.861,219.229
1614906360,219.187,219.229,217.363,217.739
1614906540,217.757,218.776,217.644,218.635
1614906720,218.614,218.89,217.915,218.235
1614906900,218.257,219.664,217.87,218.22
1614907080,218.278,219.0,217.5,218.342
1614907260,218.327,218.437,216.345,217.205
1614907440,217.181,217.313,216.077,216.566
1614907620,216.558,216.971,215.7,216.794
1614907800,216.804,217.794,216.053,217.737
1614907980,217.795,218.0,216.516,216.633
1614908160,216.633,217.961,216.533,217.638
1614908340,217.605,218.735,217.545,218.008
1614908520,218.008,218.5,217.8,218.076
1614908700,218.047,218.7,217.234,218.611
1614908880,218.652,219.6,218.572,219.347
1614909060,219.348,219.425,218.5,218.628
1614909240,218.598,219.072,218.316,218.499
1614909420,218.455,219.071,218.1,218.643
1614909600,218.643,218.707,216.755,216.893
1614909780,216.859,217.948,216.25,217.261
1614909960,217.265,218.206,216.5,217.588
1614910140,217.588,218.5,216.786,218.055
1614910320,218.038,219.34,217.81,219.3
1614910500,219.301,220.37,218.648,220.26
1614910680,220.264,220.686,219.823,220.034
1614910860,220.033,220.058,219.268,219.905
1614911040,219.852,219.869,218.888,219.191
1614911220,219.179,219.618,218.553,218.948
1614911400,219.03,219.662,218.933,219.32
1614911580,219.32,219.875,219.011,219.64
1614911760,219.631,219.793,219.261,219.759
1614911940,219.759,220.307,219.346,219.49
1614912120,219.489,219.566,219.0,219.399
1614912300,219.4,220.388,219.38,220.155
1614912480,220.122,220.595,220.008,220.32
1614912660,220.3,221.382,220.26,221.202
1614912840,221.259,221.913,221.2,221.531
1614913020,221.495,221.912,221.015,221.71
1614913200,221.668,221.771,220.578,221.333
1614913380,221.374,221.68,220.736,220.812
1614913560,220.866,221.272,220.258,220.361
1614913740,220.382,220.922,220.265,220.354
1614913920,220.355,220.683,219.554,219.992
1614914100,219.972,220.42,219.516,219.823
1614914280,219.81,219.904,219.25,219.722
1614914460,219.745,220.225,219.607,220.18
1614914640,220.18,220.86,220.142,220.355
1614914820,220.325,220.5,219.824,220.291
1614915000,220.282,220.754,219.991,220.722
1614915180,220.693,221.599,220.531,221.381
1614915360,221.38,221.8,221.16,221.274
1614915540,221.256,221.691,221.0,221.448
1614915720,221.448,221.7,221.271,221.474
1614915900,221.474,222.691,221.275,221.899
1614916080,221.935,222.249,220.23,220.513
1614916260,220.487,221.648,220.071,221.065
1614916440,221.053,221.967,220.936,221.848
1614916620,221.803,221.948,221.199,221.248
1614916800,221.281,221.621,220.86,221.266
1614916980,221.266,221.78,220.872,221.609
1614917160,221.596,221.801,221.024,221.36
1614917340,221.362,221.659,221.114,221.309
1614917520,221.263,221.514,220.768,220.8
1614917700,220.808,220.923,219.867,220.114
1614917880,220.114,220.257,219.154,219.396
1614918060,219.444,220.028,219.443,219.964
1614918240,219.955,220.511,219.702,220.423
1614918420,220.428,220.673,219.902,220.057
1614918600,220.0,220.172,219.774,220.166
1614918780,220.172,220.527,219.871,220.502
1614918960,220.477,221.334,220.477,221.035
1614919140,221.0,221.556,220.828,221.01
1614919320,221.009,221.187,220.8,220.887
1614919500,220.889,221.214,220.529,220.774
1614919680,220.773,221.071,220.583,220.793
1614919860,220.794,220.812,220.386,220.408
1614920040,220.396,221.067,219.8,219.976
1614920220,219.961,220.046,218.142,218.688
1614920400,218.699,219.23,218.089,218.752
1614920580,218.768,219.816,218.534,219.71
1614920760,219.739,220.65,219.501,220.634
1614920940,220.619,220.938,220.226,220.876
1614921120,220.875,221.196,219.717,219.888
1614921300,219.889,219.889,218.918,218.918
1614921480,218.917,220.052,218.838,219.45
1614921660,219.466,219.466,218.615,218.85
1614921840,218.805,219.133,218.4,218.731
1614922020,218.735,218.735,217.148,217.932
1614922200,217.89,219.31,217.634,218.84
1614922380,218.841,219.621,218.555,219.038
1614922560,219.051,219.6,218.855,219.545
1614922740,219.537,219.781,218.904,219.652
1614922920,219.652,219.85,219.019,219.085
1614923100,219.036,219.482,218.689,218.743
1614923280,218.778,218.789,218.143,218.6
1614923460,218.636,219.026,218.476,218.721
1614923640,218.715,219.042,217.846,218.662
1614923820,218.672,218.885,218.169,218.695
1614924000,218.668,219.068,218.402,218.993
1614924180,218.99,219.867,218.981,219.771
1614924360,219.73,220.164,219.143,219.804
1614924540,219.809,220.111,219.509,219.866
1614924720,219.846,220.1,219.542,219.904
1614924900,219.899,220.501,219.86,220.088
1614925080,220.101,220.8,220.028,220.262
1614925260,220.262,220.415,219.314,219.448
1614925440,219.424,220.149,219.264,220.135
1614925620,220.149,220.175,219.12,219.154
1614925800,219.14,219.687,219.12,219.522
1614925980,219.537,219.737,218.767,218.852
1614926160,218.851,219.5,218.72,219.347
1614926340,219.367,220.106,219.348,219.672
1614926520,219.684,220.72,219.631,219.902
1614926700,219.894,220.35,219.783,220.123
1614926880,220.123,220.58,219.769,220.494
1614927060,220.494,221.208,220.001,221.081
1614927240,221.096,222.054,221.034,221.867
1614927420,221.868,222.091,221.431,221.913
1614927600,221.91,224.623,221.85,224.622
1614927780,224.552,226.141,223.851,225.363
1614927960,225.363,226.351,224.606,225.505
1614928140,225.524,226.181,224.603,225.082
1614928320,225.122,225.737,224.573,224.876
1614928500,224.876,224.99,223.736,224.313
1614928680,224.368,225.252,224.344,224.637
1614928860,224.631,225.15,224.279,224.403
1614929040,224.407,225.224,224.324,224.961
1614929220,224.93,225.159,224.0,224.228
1614929400,224.21,224.321,222.562,222.723
1614929580,222.72,223.642,222.718,223.06
1614929760,223.06,223.805,222.7,222.794
1614929940,222.838,223.141,222.326,222.994
1614930120,223.018,223.163,222.396,223.067
1614930300,223.079,223.613,223.0,223.018
1614930480,223.007,223.273,222.049,222.35
1614930660,222.322,222.794,222.039,222.637
1614930840,222.654,223.194,222.589,223.088
1614931020,223.076,224.5,223.05,224.16
1614931200,224.123,224.323,223.0,223.971
1614931380,223.962,225.21,223.934,224.351
1614931560,224.327,224.616,223.05,223.444
1614931740,223.444,223.558,222.22,222.71
1614931920,222.753,223.395,222.31,222.348
1614932100,222.353,222.353,220.569,221.553
1614932280,221.552,221.926,220.992,221.824
1614932460,221.824,222.181,221.185,221.352
1614932640,221.324,221.568,219.551,219.769
1614932820,219.808,220.236,218.803,218.966
1614933000,218.983,219.477,218.75,219.284
1614933180,219.291,219.574,217.947,217.947
1614933360,217.98,218.371,217.01,218.075
1614933540,218.087,218.884,217.764,218.175
1614933720,218.164,218.962,217.8,218.722
1614933900,218.774,219.813,217.674,219.647
1614934080,219.653,220.287,218.672,218.672
1614934260,218.712,219.57,218.545,219.138
1614934440,219.127,219.307,217.742,218.961
1614934620,218.969,219.4,218.344,219.008
1614934800,219.055,220.05,218.541,219.871
1614934980,219.902,220.5,219.655,220.421
1614935160,220.427,220.586,219.541,219.721
1614935340,219.699,220.86,219.591,220.456
1614935520,220.477,220.645,219.631,219.792
1614935700,219.706,220.301,219.578,219.897
1614935880,219.909,220.273,219.616,220.101
1614936060,220.087,221.439,220.05,220.577
1614936240,220.579,220.964,220.025,220.178
1614936420,220.191,220.477,219.789,220.249
1614936600,220.223,220.764,220.0,220.157
1614936780,220.161,220.461,220.0,220.235
1614936960,220.272,220.635,219.875,220.451
1614937140,220.45,221.059,220.265,220.699
1614937320,220.711,221.486,220.711,221.25
1614937500,221.25,221.546,220.501,220.849
1614937680,220.82,221.84,220.548,221.77
1614937860,221.77,221.77,220.715,220.858
1614938040,220.811,221.018,220.578,220.989
1614938220,220.964,221.49,220.647,221.087
1614938400,221.071,222.857,220.953,222.598
1614938580,222.58,222.7,221.754,222.331
1614938760,222.331,222.38,222.02,222.071
1614938940,222.096,222.376,221.836,221.877
1614939120,221.902,222.123,221.5,222.0
1614939300,222.022,222.104,221.7,221.733
1614939480,221.787,222.172,221.226,221.512
1614939660,221.516,221.865,221.296,221.644
1614939840,221.682,222.071,221.444,221.715
1614940020,221.692,221.98,221.515,221.797
1614940200,221.797,222.04,221.115,221.206
1614940380,221.217,221.35,220.2,220.861
1614940560,220.89,220.999,219.6,219.664
1614940740,219.694,220.882,219.654,220.718
1614940920,220.668,220.863,220.494,220.751
1614941100,220.754,221.544,220.5,221.193
1614941280,221.217,221.556,220.926,220.999
1614941460,221.0,221.754,221.0,221.289
1614941640,221.257,221.94,221.067,221.739
1614941820,221.756,221.756,221.12,221.295
1614942000,221.295,222.072,221.295,222.072
1614942180,222.071,223.296,222.071,223.115
1614942360,223.116,223.198,222.506,222.663
1614942540,222.645,222.669,221.788,221.947
1614942720,221.947,222.598,221.863,222.442
1614942900,222.431,223.142,222.199,222.5
1614943080,222.464,222.9,222.276,222.744
1614943260,222.723,223.0,222.44,222.696
1614943440,222.74,223.265,222.557,222.871
1614943620,222.887,223.606,222.761,223.419
1614943800,223.419,224.253,223.222,223.283
1614943980,223.289,223.86,222.657,223.348
1614944160,223.36,223.686,223.0,223.398
1614944340,223.392,223.572,222.565,222.932
1614944520,222.959,223.341,222.87,223.0
1614944700,222.999,223.5,222.923,223.016
1614944880,222.984,223.229,222.8,223.082
1614945060,223.082,223.547,222.97,223.181
1614945240,223.183,223.958,223.025,223.863
1614945420,223.881,224.16,223.648,223.827
1614945600,223.781,224.46,223.781,224.083
1614945780,224.031,225.633,224.016,225.55
1614945960,225.541,225.684,224.154,224.458
1614946140,224.456,224.6,223.919,224.347
1614946320,224.385,224.555,223.687,223.778
1614946500,223.778,223.933,222.541,222.889
1614946680,222.889,223.242,222.492,223.0
1614946860,223.048,223.137,221.579,221.866
1614947040,221.764,222.902,221.764,222.827
1614947220,222.826,222.875,222.363,222.683
1614947400,222.683,223.855,222.597,223.799
1614947580,223.755,224.1,223.728,223.92
1614947760,223.907,223.948,223.006,223.905
1614947940,223.921,225.188,223.843,224.21
1614948120,224.25,224.95,224.196,224.636
1614948300,224.607,224.742,223.679,223.845
1614948480,223.929,223.993,222.796,223.455
1614948660,223.451,223.795,223.054,223.67
1614948840,223.701,224.389,223.355,224.085
1614949020,224.057,224.356,223.565,224.011
1614949200,224.034,225.906,224.031,225.298
1614949380,225.273,226.0,224.899,225.72
1614949560,225.721,225.757,224.3,224.712
1614949740,224.635,225.322,224.544,224.733
1614949920,224.749,225.199,224.6,224.903
1614950100,224.937,225.309,224.5,224.763
1614950280,224.763,224.946,224.551,224.896
1614950460,224.908,226.999,224.905,226.919
1614950640,226.919,226.919,226.015,226.855
1614950820,226.862,227.426,226.36,227.426
1614951000,227.383,227.426,224.606,225.152
1614951180,225.178,225.25,223.32,224.822
1614951360,224.822,224.965,224.105,224.598
1614951540,224.587,224.993,224.0,224.512
1614951720,224.532,225.867,224.452,225.821
1614951900,225.762,226.899,224.813,226.553
1614952080,226.595,226.962,225.75,225.869
1614952260,225.842,226.0,225.185,225.775
1614952440,225.762,226.38,225.722,226.27
1614952620,226.253,226.695,225.78,225.78
1614952800,225.832,227.434,225.832,227.383
1614952980,227.379,227.431,226.88,227.304
1614953160,227.277,228.14,227.081,227.792
1614953340,227.788,228.0,227.177,227.177
1614953520,227.177,227.877,226.79,227.638
1614953700,227.63,228.577,227.207,228.577
1614953880,228.58,228.889,228.212,228.733
1614954060,228.733,229.438,228.547,228.953
1614954240,228.953,230.177,228.702,230.062
1614954420,230.066,231.637,228.97,229.977
1614954600,229.977,230.7,229.124,229.511
1614954780,229.511,230.3,228.412,228.44
1614954960,228.479,229.334,228.016,228.233
1614955140,228.232,228.967,227.621,228.402
1614955320,228.428,229.163,228.298,229.068
1614955500,229.052,229.11,228.017,228.848
1614955680,228.852,228.852,227.638,227.906
1614955860,227.85,227.972,226.164,226.197
1614956040,226.245,226.712,225.6,226.608
1614956220,226.63,226.7,225.701,226.306
1614956400,226.291,227.799,226.29,227.604
1614956580,227.583,227.735,226.516,227.5
1614956760,227.474,228.43,227.228,228.062
1614956940,228.06,228.249,227.12,227.12
1614957120,227.157,227.289,226.303,227.061
1614957300,227.038,227.585,226.744,227.316
1614957480,227.342,227.908,226.205,226.355
1614957660,226.372,226.49,225.5,225.694
1614957840,225.681,227.0,225.5,226.939
1614958020,226.939,227.066,226.0,226.306
1614958200,226.309,226.611,225.336,225.42
1614958380,225.471,226.006,225.117,225.735
1614958560,225.747,226.196,224.3,224.624
1614958740,224.708,225.139,224.491,224.611
1614958920,224.649,225.385,224.48,224.85
1614959100,224.844,225.0,223.536,224.484
1614959280,224.435,224.648,223.45,224.173
1614959460,224.174,224.849,223.859,224.724
1614959640,224.67,225.0,224.262,224.799
1614959820,224.793,224.946,223.45,223.597
1614960000,223.593,223.806,222.222,222.855
1614960180,222.867,223.349,222.222,223.349
1614960360,223.354,223.4,221.8,222.566
1614960540,222.541,222.777,222.027,222.549
1614960720,222.548,222.548,221.001,221.184
1614960900,221.188,222.087,221.153,221.849
1614961080,221.838,222.0,220.708,221.132
1614961260,221.141,221.599,220.016,220.1
1614961440,220.044,220.667,219.188,219.372
1614961620,219.308,219.912,218.123,218.123
1614961800,218.208,220.446,217.772,219.345
1614961980,219.348,220.19,219.101,220.159
1614962160,220.189,221.087,220.175,221.001
1614962340,221.02,221.199,220.021,220.65
1614962520,220.625,220.858,219.495,220.858
1614962700,220.829,221.987,220.658,221.645
1614962880,221.637,221.828,220.01,220.103
1614963060,220.028,221.569,219.8,221.049
1614963240,221.038,221.713,220.361,221.472
1614963420,221.472,222.648,221.332,222.378
1614963600,222.371,222.634,221.932,222.38
1614963780,222.439,222.958,221.653,221.877
1614963960,221.877,222.433,221.2,221.479
1614964140,221.456,221.858,220.926,221.643
1614964320,221.694,222.6,221.674,222.548
1614964500,222.528,223.552,222.09,223.282
1614964680,223.294,223.818,222.864,223.016
1614964860,222.96,223.705,222.724,223.456
1614965040,223.398,224.458,223.109,223.874
1614965220,223.877,224.192,223.569,223.617
1614965400,223.618,224.888,223.337,224.249
1614965580,224.165,224.496,223.219,223.683
1614965760,223.69,224.215,223.409,223.959
1614965940,223.979,224.574,223.87,224.038
1614966120,224.043,225.077,223.951,224.815
1614966300,224.834,225.391,224.464,225.242
1614966480,225.239,225.295,224.028,224.415
1614966660,224.395,224.812,224.0,224.625
1614966840,224.603,225.5,224.4,225.399
1614967020,225.374,225.493,224.501,224.964
1614967200,224.965,226.756,224.964,226.023
1614967380,226.001,226.001,225.15,225.688
1614967560,225.673,226.426,225.5,225.973
1614967740,226.02,226.399,225.711,225.866
1614967920,225.842,226.584,225.702,226.417
1614968100,226.367,226.865,226.116,226.709
1614968280,226.707,227.3,226.689,226.881
1614968460,226.934,227.225,226.39,226.644
1614968640,226.594,227.093,226.594,227.068
1614968820,227.06,227.237,226.622,226.947
1614969000,226.942,227.496,224.678,225.016
1614969180,224.993,226.194,224.925,225.976
1614969360,225.996,226.602,225.686,226.205
1614969540,226.209,227.229,226.023,226.76
1614969720,226.76,227.193,225.857,226.483
1614969900,226.492,226.81,226.215,226.24
1614970080,226.267,226.555,225.804,226.126
1614970260,226.133,226.232,225.53,225.742
1614970440,225.764,226.599,225.2,226.191
1614970620,226.191,226.397,225.696,226.397
1614970800,226.356,226.8,226.05,226.155
1614970980,226.155,226.304,225.817,226.124
1614971160,226.124,226.174,225.58,225.6
1614971340,225.596,225.688,224.676,224.939
1614971520,224.939,225.969,224.939,225.956
1614971700,225.974,226.099,225.074,225.35
1614971880,225.35,225.511,224.919,225.378
1614972060,225.378,225.822,224.92,225.626
1614972240,225.659,227.389,225.506,227.246
1614972420,227.243,228.297,226.968,227.594
1614972600,227.594,227.827,226.543,226.945
1614972780,226.943,227.733,226.795,227.652
1614972960,227.653,227.69,227.327,227.359
1614973140,227.354,227.867,227.075,227.584
1614973320,227.572,227.681,227.075,227.261
1614973500,227.215,227.437,226.835,227.243
1614973680,227.231,227.235,226.904,226.99
1614973860,226.991,227.461,226.842,227.257
1614974040,227.286,228.484,227.128,227.836
1614974220,227.876,228.593,227.613,227.852
1614974400,227.89,228.398,227.511,228.024
1614974580,228.07,228.131,227.09,227.674
1614974760,227.661,227.77,227.161,227.214
1614974940,227.22,227.6,226.5,227.291
1614975120,227.278,227.278,226.6,226.876
1614975300,226.861,227.139,226.32,226.434
1614975480,226.434,226.51,225.668,226.456
1614975660,226.479,226.845,226.377,226.584
1614975840,226.598,227.4,226.478,227.118
1614976020,227.182,227.211,226.25,227.067
1614976200,227.067,227.139,226.538,226.653
1614976380,226.683,227.205,226.6,227.053
1614976560,227.015,227.596,226.608,227.547
1614976740,227.557,227.82,226.719,227.113
1614976920,227.076,227.527,226.8,227.288
1614977100,227.272,227.35,226.7,227.185
1614977280,227.185,227.235,226.559,226.844
1614977460,226.884,227.176,226.755,226.996
1614977640,227.035,227.077,226.528,226.872
1614977820,226.826,227.162,226.724,226.954
1614978000,226.946,227.777,226.935,227.777
1614978180,227.662,228.423,227.5,228.382
1614978360,228.382,229.151,228.02,228.916
1614978540,228.927,229.199,228.264,228.926
1614978720,228.963,229.131,228.161,228.351
1614978900,228.391,228.914,227.633,227.86
1614979080,227.913,228.43,227.8,228.125
1614979260,228.141,229.0,228.141,229.0
1614979440,228.999,229.0,228.585,228.791
1614979620,228.844,228.844,227.934,228.165
1614979800,228.225,228.707,228.212,228.484
1614979980,228.49,228.575,228.246,228.319
1614980160,228.349,228.699,228.287,228.687
1614980340,228.687,228.95,228.306,228.5
1614980520,228.539,228.754,228.3,228.357
1614980700,228.387,228.749,228.06,228.269
1614980880,228.269,228.269,227.712,227.947
1614981060,228.002,228.165,226.76,227.211
1614981240,227.201,227.585,226.813,227.096
1614981420,227.096,227.411,226.888,227.299
1614981600,227.3,228.342,227.3,227.781
1614981780,227.735,228.099,227.456,227.932
1614981960,227.937,228.114,227.755,228.032
1614982140,228.031,228.4,227.841,228.393
1614982320,228.392,228.944,228.227,228.88
1614982500,228.879,230.0,228.827,229.999
1614982680,230.0,230.604,229.0,229.129
1614982860,229.133,229.576,228.234,228.234
1614983040,228.234,228.447,228.2,228.325
1614983220,228.325,228.509,228.196,228.2
1614983400,228.2,228.204,226.493,226.779
1614983580,226.8,226.914,225.899,226.699
1614983760,226.68,227.0,225.8,226.937
1614983940,226.936,227.472,226.19,227.133
1614984120,227.131,228.3,227.121,228.26
1614984300,228.259,228.487,227.546,228.034
1614984480,228.008,228.125,226.319,227.179
1614984660,227.18,227.82,227.12,227.642
1614984840,227.628,227.645,226.739,227.079
1614985020,227.054,228.2,226.922,227.971
1614985200,227.966,228.195,227.228,227.745
1614985380,227.746,227.984,227.402,227.402
1614985560,227.405,227.484,226.268,226.64
1614985740,226.657,226.657,225.8,226.241
1614985920,226.248,226.328,225.5,225.816
1614986100,225.803,226.095,225.41,225.531
1614986280,225.579,226.071,225.456,225.55
1614986460,225.565,225.658,225.0,225.112
1614986640,225.113,225.472,224.671,224.77
1614986820,224.724,225.285,224.002,224.803
1614987000,224.778,224.989,224.303,224.59
1614987180,224.586,224.6,224.067,224.537
1614987360,224.536,224.853,224.127,224.732
1614987540,224.723,224.86,224.397,224.5
1614987720,224.503,224.817,224.34,224.7
1614987900,224.727,225.7,224.726,225.565
1614988080,225.565,225.794,225.211,225.66
1614988260,225.615,225.932,225.487,225.805
1614988440,225.806,226.619,225.701,226.119
1614988620,226.093,226.373,225.2,225.407
1614988800,225.409,226.58,225.359,226.551
1614988980,226.534,227.488,226.362,227.403
1614989160,227.476,227.691,226.977,227.289
1614989340,227.279,227.279,226.151,226.52
1614989520,226.554,227.549,226.521,227.389
1614989700,227.438,227.499,226.308,226.389
1614989880,226.309,226.732,226.0,226.312
1614990060,226.303,226.699,225.698,226.203
1614990240,226.255,227.2,226.132,227.169
1614990420,227.164,227.703,226.993,227.703
1614990600,227.687,228.284,227.376,228.274
1614990780,228.275,228.666,228.0,228.163
1614990960,228.165,228.498,228.124,228.478
1614991140,228.462,228.743,227.958,228.136
1614991320,228.145,228.5,227.37,227.788
1614991500,227.83,227.925,226.82,226.856
1614991680,226.82,226.977,226.293,226.895
1614991860,226.895,227.542,226.126,226.478
1614992040,226.451,226.543,225.7,226.542
1614992220,226.48,226.8,226.295,226.786
1614992400,226.715,226.951,226.084,226.709
1614992580,226.705,226.792,225.115,225.306
1614992760,225.307,225.7,224.614,225.55
1614992940,225.487,225.832,224.839,224.891
1614993120,224.897,225.5,224.8,225.325
1614993300,225.362,225.71,224.882,225.341
1614993480,225.338,225.829,225.019,225.823
1614993660,225.791,225.827,225.333,225.637
1614993840,225.619,225.708,225.19,225.472
1614994020,225.493,225.7,225.0,225.103
1614994200,225.102,225.29,224.749,225.152
1614994380,225.102,225.32,224.876,224.986
1614994560,225.006,225.672,225.006,225.368
1614994740,225.329,225.906,225.221,225.488
1614994920,225.489,225.732,225.322,225.458
1614995100,225.458,226.398,225.395,225.669
1614995280,225.628,226.199,225.549,226.083
1614995460,226.101,226.334,225.655,226.15
1614995640,226.124,226.124,225.223,225.606
1614995820,225.606,225.88,224.707,225.099
1614996000,225.098,225.138,224.877,224.995
1614996180,225.016,225.027,224.554,224.592
1614996360,224.592,224.592,224.03,224.1
1614996540,224.099,224.099,222.666,224.068
1614996720,224.073,224.421,223.999,224.3
1614996900,224.3,224.688,224.23,224.638
1614997080,224.638,225.0,224.58,224.884
1614997260,224.884,225.086,224.875,225.086
1614997440,225.096,225.409,225.015,225.228
1614997620,225.241,225.45,225.06,225.34
1614997800,225.342,225.439,225.176,225.415
1614997980,225.414,225.458,225.124,225.421
1614998160,225.42,225.697,225.345,225.406
1614998340,225.406,225.514,225.215,225.371
1614998520,225.371,225.372,225.026,225.074
1614998700,225.075,225.079,224.862,224.862
1614998880,224.862,225.052,224.599,225.052
1614999060,225.049,225.842,224.761,225.83
1614999240,225.83,225.85,225.712,225.836
1614999420,225.833,225.884,225.288,225.399
1614999600,225.38,225.38,225.095,225.222
1614999780,225.224,225.427,225.025,225.223
1614999960,225.196,225.461,225.163,225.201
1615000140,225.201,225.361,224.858,224.858
1615000320,224.854,225.009,224.6,225.007
1615000500,224.981,225.085,224.775,224.94
1615000680,224.959,224.965,224.418,224.418
1615000860,224.418,224.694,224.279,224.45
1615001040,224.45,224.869,224.068,224.848
1615001220,224.848,225.124,224.8,225.122
1615001400,225.128,225.296,224.2,224.612
1615001580,224.56,225.0,224.315,224.596
1615001760,224.615,225.357,224.375,224.875
1615001940,224.875,225.352,224.76,225.267
1615002120,225.29,226.052,225.025,225.87
1615002300,225.897,226.193,225.636,226.011
1615002480,226.025,226.273,225.556,225.867
1615002660,225.866,226.201,224.754,225.051
1615002840,225.05,225.421,224.669,225.158
1615003020,225.155,225.559,224.253,224.924
1615003200,224.921,225.053,223.765,223.927
1615003380,223.927,224.01,223.1,223.1
1615003560,223.121,223.441,222.737,223.236
1615003740,223.231,223.908,223.178,223.809
1615003920,223.8,223.962,223.233,223.929
1615004100,223.927,223.992,223.3,223.304
