datetime,open,high,low,close
1593302400,9012.0,9012.36,8993.76,8996.96
1593302580,8997.55,9015.0,8993.1,8999.98
1593302760,8999.28,9001.91,8992.19,9000.68
1593302940,9000.68,9011.94,8984.14,8984.14
1593303120,8985.82,8998.01,8983.77,8996.98
1593303300,8996.97,8999.34,8991.0,8996.99
1593303480,8997.0,8999.0,8983.73,8998.31
1593303660,8998.32,8999.17,8975.1,8980.68
1593303840,8981.02,8983.28,8963.17,8980.12
1593304020,8980.12,8991.67,8978.24,8986.64
1593304200,8986.64,8989.58,8982.79,8989.18
1593304380,8989.01,8990.14,8987.15,8989.01
1593304560,8989.01,8989.01,8980.58,8985.26
1593304740,8984.32,8986.51,8970.13,8971.51
1593304920,8971.73,8978.08,8970.0,8970.0
1593305100,8970.42,8982.63,8970.06,8974.0
1593305280,8974.0,8980.86,8965.0,8966.88
1593305460,8966.31,8975.67,8956.06,8975.67
1593305640,8975.16,8984.97,8972.01,8982.6
1593305820,8982.56,8983.86,8980.0,8982.51
1593306000,8982.51,8987.11,8982.27,8986.25
1593306180,8986.21,8986.36,8981.16,8982.65
1593306360,8982.61,8989.92,8980.95,8988.42
1593306540,8988.42,8990.34,8982.5,8988.52
1593306720,8988.53,8990.62,8981.79,8982.11
1593306900,8982.69,8983.3,8968.68,8970.28
1593307080,8970.28,8971.89,8963.04,8971.88
1593307260,8969.7,8974.07,8960.0,8963.61
1593307440,8963.52,8967.94,8956.43,8967.66
1593307620,8967.66,8969.79,8961.39,8967.61
1593307800,8967.62,8968.28,8948.06,8949.05
1593307980,8948.9,8963.91,8948.89,8958.11
1593308160,8958.14,8966.0,8957.98,8964.5
1593308340,8964.5,8968.0,8959.81,8965.69
1593308520,8965.69,8965.73,8954.69,8955.76
1593308700,8955.76,8957.91,8948.88,8953.94
1593308880,8953.93,8975.27,8953.83,8975.27
1593309060,8974.01,8993.11,8974.01,8982.65
1593309240,8982.57,8982.82,8965.26,8968.75
1593309420,8966.02,8979.31,8962.55,8971.8
1593322200,8971.86,8977.42,8971.86,8972.76
1593322380,8972.71,8973.06,8968.9,8969.01
1593322560,8969.0,8976.38,8969.0,8973.95
1593322740,8973.95,8977.36,8972.29,8975.1
1593322920,8975.11,8978.0,8974.98,8976.23
1593323100,8976.82,8978.91,8968.24,8970.23
1593323280,8970.14,8970.97,8965.98,8967.3
1593323460,8967.97,8968.0,8962.05,8962.72
1593323640,8962.22,8967.83,8961.21,8965.71
1593323820,8966.07,8966.88,8961.59,8961.59
1593324000,8961.59,8965.0,8961.28,8965.0
1593324180,8965.0,8971.74,8963.35,8965.23
1593324360,8965.23,8967.82,8962.81,8963.74
1593324540,8963.03,8972.63,8962.99,8972.59
1593324720,8972.59,8991.88,8970.16,8988.26
1593324900,8988.26,8999.0,8987.7,8995.93
1593325080,8996.06,8996.27,8989.57,8992.61
1593325260,8992.62,8993.04,8983.86,8985.3
1593325440,8985.05,8987.94,8976.12,8987.0
1593325620,8987.5,8994.58,8986.32,8992.99
1593325800,8993.19,8999.97,8992.02,8999.54
1593325980,8999.55,9009.0,8999.07,9005.16
1593326160,9005.15,9008.74,9000.0,9006.55
1593326340,9006.57,9009.0,8996.86,9000.29
1593326520,9000.01,9003.46,8997.72,9003.04
1593326700,9003.03,9013.77,9001.3,9012.37
1593326880,9012.38,9024.2,9012.26,9019.85
1593327060,9019.85,9024.19,9017.63,9017.63
1593327240,9017.63,9018.28,9012.1,9014.29
1593327420,9014.29,9019.81,9014.0,9019.81
1593327600,9019.17,9034.65,9012.97,9014.0
1593327780,9014.0,9014.78,9002.61,9004.31
1593327960,9003.67,9005.78,9000.0,9001.47
1593328140,9001.05,9009.81,9001.0,9003.82
1593328320,9004.36,9005.43,9001.85,9002.86
1593328500,9003.01,9007.16,8996.86,8998.36
1593328680,8998.35,9005.18,8995.2,9003.55
1593328860,9003.46,9006.56,9002.77,9003.11
1593329040,9003.12,9003.12,8990.97,8996.11
1593329220,8995.68,9003.85,8995.67,9003.38
1593329400,9003.84,9007.2,9000.86,9006.29
1593329580,9006.28,9009.8,9006.0,9006.0
1593329760,9006.0,9006.01,9001.01,9001.12
1593329940,9001.12,9002.63,8995.5,8999.92
1593330120,8999.92,9006.01,8999.74,9000.17
1593330300,9000.8,9001.31,8999.0,8999.97
1593330480,8999.97,9006.01,8999.0,9005.39
1593330660,9005.54,9011.36,9004.73,9010.83
1593330840,9011.6,9013.22,9009.41,9013.2
1593331020,9013.21,9031.36,9013.18,9023.09
1593331200,9023.42,9026.53,9016.87,9018.97
1593331380,9018.96,9024.51,9017.22,9018.0
1593331560,9018.0,9018.46,9010.01,9016.31
1593331740,9016.31,9017.9,9006.18,9006.87
1593331920,9006.86,9009.86,9003.09,9008.87
1593332100,9008.87,9011.83,9003.99,9006.58
1593332280,9006.59,9013.46,9006.59,9012.81
1593332460,9012.81,9018.68,9012.24,9018.39
1593332640,9018.39,9023.2,9017.64,9019.0
1593332820,9019.0,9020.0,9008.0,9009.75
1593333000,9009.13,9025.25,9008.26,9020.99
1593333180,9020.99,9021.97,9016.24,9018.06
1593333360,9018.06,9025.0,9018.06,9021.91
1593333540,9021.91,9021.91,9016.5,9019.02
1593333720,9019.02,9025.0,9017.63,9023.97
1593333900,9023.92,9079.0,9023.69,9063.0
1593334080,9063.0,9082.0,9054.26,9062.23
1593334260,9062.21,9064.56,9052.28,9061.26
1593334440,9061.4,9064.67,9052.12,9055.0
1593334620,9055.0,9059.0,9050.0,9054.21
1593334800,9054.2,9064.01,9044.89,9045.0
1593334980,9045.75,9053.73,9043.18,9051.94
1593335160,9051.94,9061.63,9051.09,9057.16
1593335340,9057.17,9060.0,9049.71,9059.55
1593335520,9059.55,9059.55,9050.0,9050.01
1593335700,9050.1,9051.7,9041.53,9049.3
1593335880,9049.3,9055.0,9048.78,9051.24
1593336060,9051.9,9060.1,9051.17,9060.0
1593336240,9060.0,9062.69,9057.0,9058.0
1593336420,9057.99,9058.0,9050.0,9050.02
1593336600,9050.03,9058.85,9050.03,9056.48
1593336780,9056.57,9077.5,9055.0,9065.49
1593336960,9064.23,9077.54,9062.69,9072.92
1593337140,9073.86,9079.0,9067.31,9069.63
1593337320,9069.62,9074.38,9068.07,9071.05
1593337500,9071.06,9071.06,9065.0,9065.01
1593337680,9065.0,9066.63,9061.54,9061.75
1593337860,9061.76,9076.73,9061.73,9070.95
1593338040,9071.83,9077.79,9062.34,9070.74
1593338220,9070.75,9077.07,9065.5,9075.01
1593338400,9075.09,9083.57,9075.09,9082.0
1593338580,9082.0,9082.01,9068.1,9070.26
1593338760,9070.58,9071.42,9063.94,9065.96
1593338940,9065.96,9067.74,9061.63,9063.1
1593339120,9063.11,9063.99,9060.0,9060.3
1593339300,9060.3,9061.88,9055.46,9056.22
1593339480,9056.84,9059.87,9052.33,9058.2
1593339660,9057.78,9061.65,9056.4,9059.54
1593339840,9059.54,9063.5,9057.4,9063.5
1593340020,9062.6,9067.5,9062.47,9065.07
1593340200,9065.08,9068.91,9063.64,9068.0
1593340380,9068.0,9068.0,9060.17,9067.23
1593340560,9067.74,9073.18,9066.48,9069.7
1593340740,9069.7,9070.37,9067.54,9068.93
1593340920,9068.51,9073.66,9067.58,9072.1
1593341100,9072.1,9072.93,9070.01,9071.94
1593341280,9071.61,9072.0,9057.65,9060.88
1593341460,9060.94,9062.37,9052.0,9057.26
1593341640,9057.41,9062.29,9053.19,9054.91
1593341820,9053.93,9055.0,9051.0,9051.19
1593342000,9052.06,9067.09,9051.39,9060.46
1593342180,9060.82,9068.2,9057.2,9067.97
1593342360,9067.98,9071.74,9067.26,9068.17
1593342540,9068.17,9068.69,9064.01,9067.33
1593342720,9067.33,9071.26,9065.48,9071.26
1593342900,9071.26,9072.7,9067.15,9069.54
1593343080,9069.51,9070.22,9062.96,9063.76
1593343260,9063.75,9065.71,9058.74,9058.74
1593343440,9058.74,9064.56,9058.73,9064.56
1593343620,9064.56,9075.1,9063.2,9072.64
1593343800,9072.64,9080.18,9070.18,9071.41
1593343980,9071.41,9074.04,9067.98,9071.42
1593344160,9071.42,9071.44,9060.51,9061.34
1593344340,9061.31,9061.36,9053.19,9059.56
1593344520,9059.21,9059.91,9056.11,9057.84
1593344700,9058.63,9061.83,9056.13,9056.14
1593344880,9056.14,9056.69,9045.76,9048.41
1593345060,9047.66,9051.54,9037.23,9051.25
1593345240,9051.24,9051.25,9045.35,9049.03
1593345420,9049.03,9053.06,9044.0,9052.81
1593345600,9052.8,9067.39,9046.24,9047.24
1593345780,9047.75,9050.69,9045.38,9049.42
1593345960,9049.09,9050.8,9042.24,9047.0
1593346140,9047.01,9047.15,9039.94,9045.0
1593346320,9045.0,9055.82,9044.99,9050.12
1593346500,9050.12,9052.98,9043.03,9045.02
1593346680,9045.02,9050.48,9045.0,9049.3
1593346860,9049.3,9051.61,9042.24,9046.22
1593347040,9046.22,9049.6,9020.8,9028.0
1593347220,9027.72,9036.29,9020.44,9028.6
1593347400,9028.92,9038.14,9025.31,9036.73
1593347580,9036.73,9040.63,9031.67,9032.26
1593347760,9032.4,9035.09,9028.04,9028.75
1593347940,9028.75,9043.99,9028.3,9043.19
1593348120,9043.18,9045.0,9038.91,9040.12
1593348300,9040.21,9045.82,9039.36,9044.09
1593348480,9044.08,9049.97,9043.4,9048.01
1593348660,9048.0,9051.76,9046.28,9050.22
1593348840,9050.22,9053.67,9048.87,9052.36
1593349020,9053.19,9053.67,9045.28,9049.99
1593349200,9050.0,9060.2,9049.68,9052.34
1593349380,9051.89,9055.05,9050.69,9054.11
1593349560,9053.81,9055.99,9047.63,9047.64
