datetime,open,high,low,close
1582156800,104.99,107.53,103.9,105.18
1582160400,105.18,105.59,104.33,105.21
1582164000,105.24,106.06,103.48,105.78
1582167600,105.71,105.92,104.98,104.98
1582171200,104.98,106.06,104.98,105.72
1582174800,105.68,105.85,104.24,105.28
1582178400,105.32,106.01,105.01,105.93
1582182000,105.97,106.1,105.35,105.59
1582185600,105.63,105.75,103.5,104.91
1582189200,104.87,105.5,103.4,104.71
1582192800,104.75,105.11,103.89,104.1
1582196400,104.1,104.6,101.88,102.75
1582200000,102.71,103.49,100.65,101.24
1582203600,101.24,103.03,100.47,102.57
1582207200,102.59,104.3,102.13,102.73
1582210800,102.73,103.7,102.12,102.69
1582214400,102.67,104.88,99.0,103.15
1582218000,102.98,103.91,101.5,102.98
1582221600,102.94,103.29,101.84,102.29
1582225200,102.42,103.3,102.06,102.99
1582228800,103.03,103.34,102.43,102.99
1582232400,102.98,104.15,102.36,103.71
1582236000,103.75,104.9,103.75,104.57
1582239600,104.54,105.96,103.93,104.89
1582243200,104.88,105.19,103.05,104.13
1582246800,104.17,106.16,103.36,105.87
1582250400,105.91,106.79,105.3,105.75
1582254000,105.76,106.88,105.2,106.71
1582257600,106.73,107.31,105.42,105.59
1582261200,105.61,105.91,105.06,105.46
1582264800,105.45,105.61,105.05,105.35
1582268400,105.27,105.52,104.5,105.03
1582272000,105.02,105.31,103.81,104.35
1582275600,104.31,105.42,103.69,105.28
1582279200,105.17,106.0,105.07,105.6
1582282800,105.55,106.04,105.05,105.33
1582286400,105.29,106.77,105.2,106.38
1582290000,106.37,106.43,105.25,105.83
1582293600,105.83,106.39,105.09,105.16
1582297200,105.12,106.22,105.0,105.81
1582300800,105.77,110.58,105.6,109.19
1582304400,109.19,109.4,107.81,108.59
1582308000,108.58,109.65,108.19,108.5
1582311600,108.5,108.86,106.83,107.42
1582315200,107.41,108.11,105.49,107.5
1582318800,107.37,108.73,106.8,107.33
1582322400,107.37,107.37,105.48,106.41
1582326000,106.51,110.01,106.18,107.5
1582329600,107.55,109.46,107.2,109.21
1582333200,109.17,109.49,107.72,108.6
1582336800,108.59,108.71,107.05,107.59
1582340400,107.57,108.96,107.55,107.97
1582344000,108.02,108.2,106.74,106.94
1582347600,106.97,107.99,106.01,106.55
1582351200,106.55,106.59,104.65,105.88
1582354800,105.85,107.06,105.55,106.69
1582358400,106.68,107.63,106.49,106.77
1582362000,106.73,106.73,105.0,105.54
1582365600,105.54,106.09,104.83,105.16
1582369200,105.11,105.47,104.36,105.33
1582372800,105.28,106.46,105.09,105.63
1582376400,105.6,106.41,104.91,105.23
1582380000,105.24,105.45,104.7,105.13
1582383600,105.13,105.3,103.68,104.48
1582387200,104.47,104.96,103.1,104.48
1582390800,104.52,105.34,103.4,104.0
1582394400,103.99,104.58,103.42,104.22
1582398000,104.17,104.82,103.77,104.04
1582401600,104.0,105.02,104.0,104.45
1582405200,104.41,104.97,103.69,104.4
1582408800,104.4,104.78,103.92,104.25
1582412400,104.21,104.3,103.55,103.97
1582416000,103.93,104.38,103.61,104.37
1582419600,104.33,104.33,103.65,103.76
1582423200,103.76,105.11,103.67,105.0
1582426800,104.97,106.13,104.32,105.64
1582430400,105.64,107.12,105.59,106.64
1582434000,106.67,108.03,106.23,107.4
1582437600,107.38,108.92,107.35,108.46
1582441200,108.49,108.6,107.46,108.2
1582444800,108.23,108.52,107.31,108.41
1582448400,108.41,108.87,107.9,108.82
1582452000,108.78,109.59,107.45,107.68
1582455600,107.67,108.09,106.65,107.17
1582459200,107.12,108.2,107.12,107.75
1582462800,107.75,108.59,107.56,108.32
1582466400,108.3,108.59,107.45,107.93
1582470000,107.93,108.44,106.98,107.45
1582473600,107.41,107.84,106.98,107.49
1582477200,107.45,108.33,107.31,107.48
1582480800,107.5,108.17,107.28,107.47
1582484400,107.45,107.84,106.76,106.96
1582488000,106.96,107.15,106.39,107.15
1582491600,107.13,107.29,106.9,107.23
1582495200,107.2,107.68,106.92,107.4
1582498800,107.49,108.7,107.2,108.23
1582502400,108.23,109.49,107.6,108.09
1582506000,108.13,108.13,107.17,107.38
1582509600,107.36,107.79,104.72,105.16
1582513200,105.17,105.8,104.6,104.99
1582516800,105.02,105.05,104.15,104.86
1582520400,104.92,105.68,104.71,105.5
1582524000,105.5,105.5,104.01,104.24
1582527600,104.23,104.85,103.28,104.35
1582531200,104.41,104.77,104.0,104.22
1582534800,104.23,104.35,103.57,103.8
1582538400,103.79,104.07,103.15,103.98
1582542000,103.95,105.23,103.85,105.11
1582545600,105.11,105.34,104.66,104.79
1582549200,104.78,105.1,104.42,104.67
1582552800,104.65,105.0,103.88,103.98
1582556400,104.01,104.17,102.63,103.15
1582560000,103.12,104.07,102.21,102.39
1582563600,102.39,102.71,101.63,101.95
1582567200,101.95,102.21,100.01,102.03
1582570800,102.06,102.72,101.64,102.0
1582574400,102.0,102.76,101.45,102.25
1582578000,102.21,102.74,101.38,101.93
1582581600,101.89,103.41,101.86,103.13
1582585200,103.09,104.08,102.38,103.61
1582588800,103.73,103.88,102.43,102.92
1582592400,102.86,103.32,102.0,102.16
1582596000,102.19,102.93,101.59,102.25
1582599600,102.29,102.72,101.92,102.03
1582603200,101.99,102.03,101.17,101.74
1582606800,101.75,101.83,99.17,99.49
1582610400,99.49,100.46,96.98,98.81
1582614000,98.81,98.85,97.77,98.38
1582617600,98.45,101.12,98.01,99.72
1582621200,99.74,100.43,99.44,99.44
1582624800,99.4,99.8,99.06,99.19
1582628400,99.16,100.62,97.95,100.2
1582632000,100.17,100.58,99.78,99.94
1582635600,99.94,100.35,99.19,99.62
1582639200,99.6,100.15,96.98,97.48
1582642800,97.46,97.74,96.21,96.61
1582646400,96.61,97.5,94.91,95.0
1582650000,94.96,96.99,94.75,96.03
1582653600,95.99,96.43,95.3,96.06
1582657200,96.06,96.2,95.26,95.92
1582660800,95.92,96.1,95.1,95.6
1582664400,95.6,96.69,95.04,96.38
1582668000,96.34,97.61,96.05,97.61
1582671600,97.58,97.6,95.5,95.68
1582675200,95.64,96.85,95.24,95.49
1582678800,95.49,95.66,91.9,91.91
1582682400,91.89,92.26,88.19,90.15
1582686000,90.19,90.21,89.32,89.96
1582689600,89.84,90.43,89.25,90.38
1582693200,90.42,90.65,89.66,90.45
1582696800,90.43,90.83,89.95,90.67
1582700400,90.74,90.86,88.2,88.25
1582704000,88.28,89.68,87.21,89.2
1582707600,89.16,89.31,87.18,87.33
1582711200,87.34,88.7,87.25,88.56
1582714800,88.52,88.6,87.63,87.84
1582718400,87.86,91.28,86.4,90.65
1582722000,90.64,90.92,86.72,87.27
1582725600,87.25,87.61,83.76,85.53
1582729200,85.57,86.32,84.22,85.3
1582732800,85.31,85.92,78.98,81.04
1582736400,81.07,81.86,80.34,81.48
1582740000,81.41,85.57,81.32,85.4
1582743600,85.41,85.56,83.62,84.74
1582747200,84.74,85.54,84.02,84.51
1582750800,84.44,84.59,82.3,82.71
1582754400,82.79,84.66,82.28,84.11
1582758000,84.07,85.67,83.96,84.29
1582761600,84.3,84.47,81.0,81.58
1582765200,81.6,83.75,79.34,83.35
1582768800,83.34,84.31,81.68,83.2
1582772400,83.2,83.88,81.87,83.32
1582776000,83.32,83.88,82.59,83.15
1582779600,83.13,84.72,82.97,84.61
1582783200,84.64,85.5,84.04,84.97
1582786800,85.0,85.85,84.38,85.85
1582790400,85.81,86.88,85.12,85.27
1582794000,85.24,86.33,84.73,84.96
1582797600,84.92,86.26,84.63,86.15
1582801200,86.15,86.32,85.11,85.76
1582804800,85.76,87.12,85.76,86.76
1582808400,86.78,87.44,86.22,86.59
1582812000,86.58,88.41,86.41,88.28
1582815600,88.3,89.01,88.19,88.56
1582819200,88.56,93.94,88.4,92.7
1582822800,92.73,93.57,91.27,92.18
1582826400,92.14,93.47,91.55,92.2
1582830000,92.23,92.49,90.75,91.5
1582833600,91.47,91.51,90.32,90.9
1582837200,90.88,91.77,87.7,88.99
1582840800,89.03,89.6,87.3,89.42
1582844400,89.49,90.47,87.94,89.98
1582848000,89.94,92.34,89.54,91.73
1582851600,91.69,92.71,90.89,92.54
1582855200,92.54,92.54,90.95,91.37
1582858800,91.33,91.43,88.79,89.61
1582862400,89.6,90.47,89.04,89.57
1582866000,89.53,89.75,88.72,89.54
1582869600,89.53,90.9,88.9,89.52
1582873200,89.5,89.61,87.0,87.74
1582876800,87.8,89.18,87.04,87.04
1582880400,87.08,87.91,83.02,84.58
1582884000,84.62,86.25,83.25,85.74
1582887600,85.72,87.25,85.08,86.04
1582891200,86.07,86.38,83.48,85.37
1582894800,85.37,88.4,84.98,87.87
1582898400,87.83,90.44,85.99,90.06
1582902000,90.07,91.66,89.32,91.52
1582905600,91.44,91.61,87.55,87.85
1582909200,87.85,91.32,72.89,87.78
1582912800,87.74,88.99,86.39,86.61
1582916400,86.51,87.49,85.67,87.32
1582920000,87.37,88.08,86.77,87.0
1582923600,86.96,88.08,86.91,87.88
1582927200,87.84,89.18,87.41,89.16
1582930800,89.16,89.68,87.68,88.05
1582934400,88.09,90.1,88.06,89.63
1582938000,89.66,89.96,88.23,88.32
1582941600,88.28,89.03,88.17,88.82
1582945200,88.77,89.61,88.42,89.54
1582948800,89.5,90.0,89.19,89.81
1582952400,89.83,90.06,89.28,89.96
1582956000,89.99,90.45,88.94,89.23
1582959600,89.14,89.59,88.8,89.46
1582963200,89.46,89.75,88.45,89.0
1582966800,89.02,89.05,87.28,87.52
1582970400,87.52,88.68,86.9,86.94
1582974000,86.9,89.79,86.9,89.19
1582977600,89.09,89.2,87.94,88.11
1582981200,88.05,88.21,87.49,87.77
1582984800,87.81,87.81,86.36,87.53
1582988400,87.53,88.58,86.95,87.36
1582992000,87.36,87.88,86.21,86.39
1582995600,86.41,87.68,86.31,87.61
1582999200,87.65,87.91,86.95,87.66
1583002800,87.68,87.86,87.11,87.64
1583006400,87.6,87.6,86.71,87.31
1583010000,87.31,87.63,86.76,87.02
1583013600,87.03,87.09,86.0,86.7
1583017200,86.71,87.07,85.11,85.36
1583020800,85.37,86.64,85.27,85.49
1583024400,85.48,89.53,85.16,89.18
1583028000,89.24,90.02,88.19,89.02
1583031600,89.02,89.88,88.34,88.49
1583035200,88.47,88.73,87.8,88.08
