datetime,open,high,low,close
1597791600,2.09,4.44,2.0,3.0465
1597791780,3.05,3.1841,2.944,3.0007
1597791960,3.03,3.07,2.811,2.8879
1597792140,2.8877,3.0638,2.8,3.02
1597792320,3.02,3.0896,2.975,2.9999
1597792500,2.9999,3.03,2.91,2.99
1597792680,2.99,3.0,2.8665,2.8827
1597792860,2.8827,2.98,2.88,2.9756
1597793040,2.9782,3.0215,2.9782,2.9824
1597793220,2.9951,3.01,2.9725,2.9791
1597793400,2.9791,3.0749,2.961,3.0749
1597793580,3.0749,3.18,3.0111,3.1721
1597793760,3.172,3.1799,3.115,3.1436
1597793940,3.1436,3.15,3.0922,3.0922
1597794120,3.1,3.125,3.0231,3.1
1597794300,3.1044,3.1082,3.08,3.1014
1597794480,3.0993,3.1,2.9902,3.0419
1597794660,3.0356,3.0918,3.02,3.0799
1597794840,3.0799,3.1,3.0323,3.0999
1597795020,3.0999,3.11,3.0406,3.1
1597795200,3.1,3.1082,3.0855,3.1075
1597795380,3.1075,3.128,3.0742,3.0948
1597795560,3.09,3.1001,3.03,3.0991
1597795740,3.0993,3.1,3.0801,3.0928
1597795920,3.0806,3.095,3.0612,3.068
1597796100,3.068,3.0937,3.04,3.0444
1597796280,3.045,3.045,3.02,3.026
1597796460,3.026,3.0345,3.02,3.0345
1597796640,3.0329,3.045,3.0329,3.0422
1597796820,3.0422,3.0695,3.0422,3.0509
1597797000,3.0535,3.065,3.0487,3.055
1597797180,3.055,3.0565,3.0008,3.0008
1597797360,3.0008,3.01,2.9738,2.982
1597797540,2.9821,3.0,2.9821,2.9902
1597797720,2.9943,3.035,2.9943,3.0267
1597797900,3.0241,3.04,3.02,3.0277
1597798080,3.0328,3.05,3.0201,3.0412
1597798260,3.0458,3.0937,3.0439,3.0937
1597798440,3.093,3.14,3.05,3.0841
1597798620,3.0815,3.1196,3.0738,3.105
1597798800,3.105,3.1095,3.088,3.0881
1597798980,3.0915,3.0915,3.06,3.0651
1597799160,3.0727,3.125,3.0727,3.1243
1597799340,3.1209,3.1209,3.0807,3.0949
1597799520,3.0949,3.0949,3.0625,3.0637
1597799700,3.0624,3.0999,3.0584,3.0902
1597799880,3.0901,3.0911,3.0701,3.087
1597800060,3.0873,3.0873,3.0773,3.0786
1597800240,3.0766,3.0881,3.07,3.088
1597800420,3.0867,3.0899,3.0673,3.0811
1597800600,3.0819,3.0999,3.0713,3.0867
1597800780,3.0786,3.0991,3.0767,3.0991
1597800960,3.0995,3.11,3.0995,3.1099
1597801140,3.1094,3.115,3.1094,3.1106
1597801320,3.11,3.12,3.1006,3.1137
1597801500,3.1136,3.1225,3.1131,3.1225
1597801680,3.1225,3.1299,3.1105,3.123
1597801860,3.12,3.1206,3.1,3.1094
1597802040,3.1099,3.1169,3.1,3.1103
1597802220,3.111,3.1124,3.09,3.1063
1597802400,3.1082,3.1087,3.0765,3.0816
1597802580,3.08,3.087,3.0655,3.0655
1597802760,3.0715,3.08,3.0678,3.079
1597802940,3.079,3.0799,3.0656,3.0656
1597803120,3.0657,3.0708,2.98,3.0107
1597803300,3.0107,3.0859,3.0106,3.0773
1597803480,3.0773,3.11,3.076,3.1041
1597803660,3.11,3.1124,3.0372,3.0976
1597803840,3.0976,3.109,3.045,3.0621
1597804020,3.0746,3.09,3.0,3.0067
1597804200,3.0067,3.02,2.99,3.0001
