datetime,open,high,low,close
1582156800,3.977,3.998,3.961,3.985
1582156980,3.99,4.048,3.99,4.034
1582157160,4.034,4.05,4.013,4.02
1582157340,4.016,4.031,4.016,4.028
1582157520,4.027,4.031,4.02,4.027
1582157700,4.027,4.042,4.023,4.042
1582157880,4.039,4.042,4.031,4.035
1582158060,4.036,4.053,4.032,4.048
1582158240,4.047,4.052,4.041,4.047
1582158420,4.046,4.046,4.033,4.033
1582158600,4.03,4.035,4.023,4.032
1582158780,4.033,4.039,4.022,4.028
1582158960,4.026,4.03,4.012,4.02
1582159140,4.021,4.024,4.017,4.021
1582159320,4.022,4.022,3.995,3.995
1582159500,3.998,4.025,3.998,4.015
1582159680,4.014,4.022,4.011,4.022
1582159860,4.024,4.032,4.024,4.031
1582160040,4.031,4.036,4.028,4.034
1582160220,4.032,4.032,4.026,4.031
1582160400,4.03,4.04,4.027,4.04
1582160580,4.036,4.041,4.034,4.034
1582160760,4.035,4.038,4.031,4.036
1582160940,4.034,4.034,4.013,4.019
1582161120,4.016,4.025,4.013,4.021
1582161300,4.02,4.022,4.015,4.021
1582161480,4.022,4.022,4.008,4.018
1582161660,4.018,4.035,4.018,4.028
1582161840,4.033,4.036,4.017,4.017
1582162020,4.016,4.023,4.012,4.015
1582162200,4.016,4.034,4.014,4.029
1582162380,4.03,4.033,4.026,4.027
1582162560,4.026,4.035,4.021,4.034
1582162740,4.033,4.037,4.026,4.026
1582162920,4.026,4.033,4.026,4.031
1582163100,4.029,4.031,4.021,4.024
1582163280,4.023,4.033,4.021,4.024
1582163460,4.024,4.024,4.015,4.015
1582163640,4.016,4.02,4.014,4.019
1582163820,4.019,4.024,4.016,4.017
1582164000,4.017,4.028,4.015,4.025
1582164180,4.027,4.029,4.012,4.021
1582164360,4.022,4.023,3.996,3.998
1582164540,3.999,4.009,3.975,3.985
1582164720,3.979,3.995,3.971,3.981
1582164900,3.976,3.985,3.95,3.95
1582165080,3.95,3.96,3.929,3.948
1582165260,3.948,3.966,3.938,3.957
1582165440,3.955,3.988,3.955,3.979
1582165620,3.982,3.982,3.976,3.98
1582165800,3.98,4.005,3.978,4.001
1582165980,4.0,4.0,3.967,3.973
1582166160,3.974,3.985,3.974,3.975
1582166340,3.973,3.989,3.958,3.977
1582166520,3.977,3.996,3.977,3.993
1582166700,3.991,4.031,3.991,4.019
1582166880,4.016,4.032,4.015,4.022
1582167060,4.021,4.028,4.019,4.023
1582167240,4.022,4.023,4.011,4.013
1582167420,4.017,4.027,4.005,4.026
1582167600,4.025,4.042,4.023,4.035
1582167780,4.034,4.036,4.016,4.016
1582167960,4.014,4.025,4.011,4.02
1582168140,4.02,4.03,4.015,4.021
1582168320,4.022,4.024,4.02,4.021
1582168500,4.02,4.029,4.02,4.029
1582168680,4.028,4.047,4.028,4.047
1582168860,4.048,4.068,4.037,4.044
1582169040,4.042,4.042,4.032,4.041
1582169220,4.046,4.055,4.046,4.055
1582169400,4.058,4.059,4.046,4.048
1582169580,4.048,4.048,4.033,4.038
1582169760,4.041,4.047,4.041,4.041
1582169940,4.04,4.049,4.04,4.046
1582170120,4.046,4.046,4.02,4.025
1582170300,4.021,4.023,4.018,4.022
1582170480,4.022,4.022,4.002,4.011
1582170660,4.01,4.02,4.007,4.015
1582170840,4.021,4.021,4.01,4.015
1582171020,4.012,4.014,4.009,4.014
1582171200,4.011,4.046,4.011,4.041
1582171380,4.041,4.041,4.027,4.027
1582171560,4.027,4.032,4.026,4.031
1582171740,4.033,4.041,4.028,4.041
1582171920,4.041,4.051,4.035,4.04
1582172100,4.04,4.04,4.032,4.033
1582172280,4.033,4.033,4.021,4.028
1582172460,4.028,4.038,4.027,4.038
1582172640,4.039,4.043,4.037,4.037
1582172820,4.037,4.037,4.026,4.029
1582173000,4.029,4.029,4.022,4.025
1582173180,4.025,4.034,4.025,4.03
1582173360,4.029,4.033,4.017,4.023
1582173540,4.019,4.02,4.012,4.015
1582173720,4.015,4.023,4.009,4.021
1582173900,4.021,4.034,4.015,4.031
1582174080,4.032,4.032,4.027,4.029
1582174260,4.031,4.038,4.026,4.026
1582174440,4.026,4.035,4.023,4.035
1582174620,4.032,4.032,4.025,4.027
1582174800,4.025,4.032,4.025,4.032
1582174980,4.031,4.033,4.02,4.023
1582175160,4.024,4.024,4.015,4.015
1582175340,4.015,4.03,4.012,4.025
1582175520,4.024,4.024,4.016,4.016
1582175700,4.019,4.022,4.013,4.013
1582175880,4.016,4.018,4.014,4.018
1582176060,4.016,4.016,4.012,4.012
1582176240,4.012,4.012,4.002,4.008
1582176420,4.006,4.01,3.999,4.01
1582176600,4.006,4.007,4.0,4.0
1582176780,3.999,3.999,3.98,3.989
1582176960,3.985,4.012,3.983,4.009
1582177140,4.006,4.016,3.997,4.0
1582177320,3.999,4.007,3.999,4.002
1582177500,4.003,4.012,3.996,4.01
1582177680,4.007,4.017,4.002,4.015
1582177860,4.011,4.04,4.01,4.037
1582178040,4.037,4.04,4.025,4.039
1582178220,4.039,4.039,4.029,4.03
1582178400,4.031,4.031,4.019,4.022
1582178580,4.024,4.031,4.024,4.031
1582178760,4.032,4.038,4.028,4.034
1582178940,4.034,4.036,4.027,4.029
1582179120,4.023,4.03,4.023,4.024
1582179300,4.026,4.038,4.022,4.029
1582179480,4.028,4.034,4.025,4.031
1582179660,4.027,4.027,4.007,4.019
1582179840,4.017,4.025,4.017,4.017
1582180020,4.02,4.03,4.02,4.03
1582180200,4.031,4.036,4.03,4.036
1582180380,4.035,4.041,4.033,4.041
1582180560,4.041,4.045,4.038,4.043
1582180740,4.043,4.046,4.035,4.038
1582180920,4.037,4.045,4.036,4.043
1582181100,4.041,4.042,4.031,4.031
1582181280,4.031,4.037,4.027,4.036
1582181460,4.034,4.043,4.034,4.043
1582181640,4.043,4.047,4.04,4.042
1582181820,4.042,4.05,4.038,4.043
1582182000,4.046,4.049,4.031,4.034
1582182180,4.035,4.036,4.024,4.027
1582182360,4.027,4.03,4.022,4.025
1582182540,4.025,4.034,4.025,4.032
1582182720,4.031,4.04,4.031,4.039
1582182900,4.039,4.04,4.036,4.039
1582183080,4.041,4.044,4.031,4.032
1582183260,4.032,4.041,4.032,4.041
1582183440,4.039,4.046,4.039,4.042
1582183620,4.038,4.039,4.032,4.039
1582183800,4.04,4.04,4.029,4.029
1582183980,4.029,4.029,4.024,4.025
1582184160,4.022,4.024,4.012,4.019
1582184340,4.019,4.029,4.017,4.029
1582184520,4.026,4.034,4.024,4.025
1582184700,4.025,4.028,4.017,4.017
1582184880,4.019,4.025,4.018,4.025
1582185060,4.029,4.039,4.027,4.038
1582185240,4.038,4.038,4.028,4.03
1582185420,4.029,4.03,4.022,4.022
1582185600,4.026,4.029,4.017,4.021
1582185780,4.021,4.024,4.014,4.014
1582185960,4.014,4.027,4.014,4.027
1582186140,4.025,4.026,4.021,4.025
1582186320,4.025,4.025,4.016,4.018
1582186500,4.018,4.022,4.015,4.015
1582186680,4.015,4.015,4.001,4.006
1582186860,4.006,4.007,3.991,3.999
1582187040,4.002,4.009,3.998,4.005
1582187220,4.005,4.005,3.99,3.99
1582187400,3.987,4.004,3.974,4.003
1582187580,4.004,4.004,3.991,4.001
1582187760,4.002,4.006,3.997,3.997
1582187940,3.999,4.0,3.992,3.993
1582188120,3.993,4.0,3.978,3.988
1582188300,3.983,3.985,3.951,3.965
1582188480,3.966,3.974,3.96,3.962
1582188660,3.965,3.965,3.944,3.95
1582188840,3.949,3.961,3.912,3.96
1582189020,3.965,4.039,3.958,4.007
1582189200,4.005,4.047,4.002,4.017
1582189380,4.019,4.02,4.0,4.012
1582189560,4.012,4.019,4.001,4.001
1582189740,4.001,4.001,3.977,3.984
1582189920,3.983,3.996,3.981,3.989
1582190100,3.992,3.994,3.969,3.972
1582190280,3.967,3.981,3.965,3.976
1582190460,3.975,3.988,3.965,3.984
1582190640,3.984,4.0,3.984,3.995
1582190820,3.997,3.998,3.98,3.98
1582191000,3.978,4.0,3.978,3.998
1582191180,3.997,3.998,3.98,3.984
1582191360,3.983,3.987,3.981,3.982
1582191540,3.984,3.994,3.981,3.994
1582191720,3.991,4.001,3.99,3.999
1582191900,4.0,4.013,4.0,4.009
1582192080,4.009,4.016,4.004,4.011
1582192260,4.012,4.013,3.99,3.996
1582192440,3.994,4.009,3.993,4.007
1582192620,4.008,4.01,4.007,4.01
1582192800,4.01,4.014,4.006,4.01
1582192980,4.01,4.01,3.993,3.998
1582193160,3.995,3.999,3.988,3.995
1582193340,3.994,3.998,3.991,3.995
1582193520,3.993,4.01,3.992,4.004
1582193700,4.008,4.014,4.005,4.013
1582193880,4.014,4.015,4.008,4.015
1582194060,4.016,4.024,4.016,4.019
1582194240,4.017,4.02,4.009,4.011
1582194420,4.01,4.01,4.006,4.006
1582194600,4.008,4.015,4.006,4.009
1582194780,4.008,4.011,4.002,4.004
1582194960,4.003,4.003,3.995,4.002
1582195140,4.003,4.016,4.001,4.012
1582195320,4.013,4.019,4.002,4.016
1582195500,4.02,4.022,4.009,4.009
1582195680,4.008,4.012,4.001,4.009
1582195860,4.007,4.01,4.006,4.009
1582196040,4.006,4.016,4.006,4.012
1582196220,4.013,4.018,4.013,4.017
1582196400,4.016,4.016,4.005,4.01
1582196580,4.01,4.018,4.01,4.014
1582196760,4.017,4.019,4.01,4.01
1582196940,4.012,4.012,3.998,4.002
1582197120,4.003,4.003,3.995,3.998
1582197300,3.999,4.007,3.999,4.005
1582197480,4.004,4.007,3.998,4.0
1582197660,4.0,4.0,3.971,3.979
1582197840,3.983,3.984,3.97,3.974
1582198020,3.975,3.985,3.975,3.981
