datetime,open,high,low,close
1613865600,15.107,15.302,14.826,15.234
1613869200,15.229,15.412,15.009,15.381
1613872800,15.385,15.486,15.211,15.253
1613876400,15.253,15.432,15.153,15.185
1613880000,15.188,15.382,15.101,15.341
1613883600,15.345,15.475,15.224,15.377
1613887200,15.383,15.625,15.182,15.483
1613890800,15.483,15.584,15.131,15.175
1613894400,15.178,15.488,15.103,15.475
1613898000,15.474,16.166,15.421,16.094
1613901600,16.1,16.11,15.848,16.043
1613905200,16.044,16.102,15.751,15.782
1613908800,15.785,15.853,15.519,15.665
1613912400,15.663,15.798,15.621,15.706
1613916000,15.71,16.114,15.537,16.098
1613919600,16.099,16.424,15.941,16.293
1613923200,16.289,16.422,15.84,15.948
1613926800,15.947,16.012,15.778,15.973
1613930400,15.975,16.048,15.82,16.023
1613934000,16.028,16.128,15.951,15.983
1613937600,15.979,15.98,15.56,15.644
1613941200,15.644,15.725,15.4,15.465
1613944800,15.467,15.697,15.424,15.663
1613948400,15.66,15.784,15.638,15.691
1613952000,15.695,15.75,15.128,15.162
1613955600,15.164,15.572,15.043,15.552
1613959200,15.551,15.714,15.318,15.48
1613962800,15.481,15.557,14.93,15.097
1613966400,15.101,15.257,14.78,15.131
1613970000,15.132,15.376,15.016,15.105
1613973600,15.107,15.421,14.989,15.243
1613977200,15.243,15.384,15.043,15.319
1613980800,15.323,15.455,15.09,15.138
1613984400,15.14,15.283,14.738,14.846
1613988000,14.847,14.941,14.252,14.769
1613991600,14.769,14.973,14.587,14.602
1613995200,14.604,14.654,13.966,14.397
1613998800,14.4,14.469,13.37,13.436
1614002400,13.426,13.871,10.569,13.78
1614006000,13.765,14.003,13.107,13.546
1614009600,13.543,13.847,13.329,13.516
1614013200,13.522,13.551,12.904,13.014
1614016800,13.016,13.344,12.715,13.219
1614020400,13.219,13.532,13.091,13.442
1614024000,13.441,13.716,13.403,13.627
1614027600,13.626,14.025,13.601,13.956
1614031200,13.952,14.107,13.709,14.021
1614034800,14.02,14.115,13.705,13.942
1614038400,13.939,14.014,13.422,13.521
1614042000,13.523,13.785,13.079,13.194
1614045600,13.194,13.354,12.499,12.633
1614049200,12.639,13.096,12.544,12.723
1614052800,12.722,12.97,12.184,12.607
1614056400,12.607,12.615,11.703,12.332
1614060000,12.334,12.63,11.95,11.98
1614063600,11.977,12.401,11.9,12.168
1614067200,12.168,12.32,9.891,9.894
1614070800,9.895,11.006,9.125,10.917
1614074400,10.901,11.288,10.348,10.764
1614078000,10.758,10.961,9.686,10.48
1614081600,10.482,11.321,10.073,10.997
1614085200,10.986,11.404,10.902,11.341
1614088800,11.343,11.529,10.595,10.914
1614092400,10.923,11.496,10.732,11.314
1614096000,11.314,11.542,11.022,11.046
1614099600,11.043,11.225,10.8,10.819
1614103200,10.817,10.963,10.638,10.665
1614106800,10.665,10.848,10.174,10.239
1614110400,10.243,10.714,10.148,10.714
1614114000,10.714,10.988,10.573,10.921
1614117600,10.918,11.205,10.863,11.176
1614121200,11.176,11.415,11.054,11.37
1614124800,11.367,11.458,10.847,11.369
1614128400,11.369,12.007,11.296,11.99
1614132000,11.991,12.269,11.81,12.151
1614135600,12.144,12.367,12.061,12.29
1614139200,12.294,12.524,11.876,12.083
1614142800,12.078,12.239,11.862,11.977
1614146400,11.976,12.176,11.731,12.019
1614150000,12.02,12.076,11.756,11.986
