datetime,open,high,low,close
1585699200,132.72,133.36,130.85,132.02
1585702800,132.0,132.39,131.44,131.52
1585706400,131.56,132.36,131.31,132.34
1585710000,132.31,133.13,132.23,132.84
1585713600,132.87,133.2,132.61,132.71
1585717200,132.71,132.84,131.81,132.0
1585720800,131.98,132.52,131.66,132.18
1585724400,132.19,132.58,131.9,132.42
1585728000,132.41,132.43,131.57,132.0
1585731600,132.02,132.23,131.4,132.13
1585735200,132.11,132.36,131.76,131.9
1585738800,131.91,132.3,131.59,132.3
1585742400,132.3,133.25,131.27,131.39
1585746000,131.36,131.6,130.37,130.7
1585749600,130.75,131.69,130.48,131.55
1585753200,131.57,131.61,130.92,131.1
1585756800,131.08,131.08,128.62,129.34
1585760400,129.34,129.84,129.04,129.6
1585764000,129.59,129.93,129.36,129.43
1585767600,129.45,130.09,128.95,129.94
1585771200,129.93,132.63,129.63,131.74
1585774800,131.75,132.54,131.42,131.72
1585778400,131.72,134.68,131.72,133.3
1585782000,133.34,136.99,133.07,135.69
1585785600,135.65,139.23,135.55,136.0
1585789200,136.0,136.81,135.01,135.17
1585792800,135.15,136.29,135.11,135.98
1585796400,135.98,136.38,135.44,136.31
1585800000,136.3,136.92,135.7,135.9
1585803600,135.88,136.2,135.57,136.17
1585807200,136.16,137.22,135.9,137.2
1585810800,137.21,137.84,136.68,137.37
1585814400,137.38,137.73,136.47,137.3
1585818000,137.3,137.38,136.7,136.81
1585821600,136.85,138.0,136.8,137.12
1585825200,137.12,137.96,136.67,137.64
1585828800,137.67,138.63,136.7,137.28
1585832400,137.28,137.44,136.11,136.48
1585836000,136.49,139.8,136.31,138.94
1585839600,138.91,139.7,138.04,139.29
1585843200,139.3,143.59,139.05,143.48
1585846800,143.48,149.76,143.45,145.41
1585850400,145.43,145.73,140.0,140.45
1585854000,140.44,142.41,139.4,140.85
1585857600,140.85,141.16,138.12,140.5
1585861200,140.5,142.91,140.01,142.41
1585864800,142.4,142.94,140.69,142.33
1585868400,142.36,142.36,140.02,141.28
1585872000,141.27,141.85,140.7,140.91
1585875600,140.85,142.32,140.32,142.15
1585879200,142.16,142.65,141.43,142.35
1585882800,142.36,142.74,141.46,141.55
1585886400,141.55,141.93,141.14,141.76
1585890000,141.74,141.93,141.0,141.69
1585893600,141.73,142.68,141.35,142.14
1585897200,142.14,145.1,142.05,144.65
1585900800,144.64,145.55,142.85,144.01
1585904400,144.06,145.38,143.37,144.89
1585908000,144.9,146.43,144.13,146.24
1585911600,146.22,146.72,144.54,146.15
1585915200,146.14,146.5,142.98,144.84
1585918800,144.81,144.92,143.0,143.27
1585922400,143.3,143.65,140.17,141.76
1585926000,141.79,142.74,140.5,141.39
1585929600,141.37,141.74,137.26,141.0
1585933200,141.0,142.22,139.51,140.72
1585936800,140.7,141.83,139.84,141.61
1585940400,141.64,142.38,141.27,142.32
1585944000,142.31,142.76,140.32,140.6
1585947600,140.59,142.09,139.69,141.12
1585951200,141.12,141.99,140.55,141.86
1585954800,141.84,142.26,141.14,141.31
1585958400,141.3,141.87,140.68,141.34
1585962000,141.35,142.27,141.13,141.37
1585965600,141.36,141.39,139.64,139.72
1585969200,139.71,140.24,138.88,139.73
1585972800,139.73,140.8,139.31,140.33
1585976400,140.34,141.05,140.06,140.12
1585980000,140.13,140.98,139.86,140.74
1585983600,140.75,141.37,140.68,140.98
1585987200,140.99,142.0,140.96,142.0
1585990800,142.0,143.8,141.17,143.0
1585994400,143.0,144.16,142.57,143.54
1585998000,143.6,143.99,140.0,140.81
1586001600,140.81,141.65,140.05,141.05
1586005200,141.02,142.0,140.69,141.82
1586008800,141.8,142.0,141.25,141.64
1586012400,141.64,142.85,141.56,142.3
1586016000,142.28,144.09,142.0,143.73
1586019600,143.73,144.4,143.03,143.03
1586023200,143.09,143.77,142.78,143.05
1586026800,143.02,143.62,142.08,142.81
1586030400,142.85,146.28,141.1,143.34
1586034000,143.39,144.48,143.3,144.01
1586037600,144.08,144.96,142.81,143.83
1586041200,143.85,144.34,143.58,144.1
1586044800,144.1,145.58,144.1,144.54
1586048400,144.53,145.15,144.23,144.83
1586052000,144.85,144.86,144.0,144.51
1586055600,144.52,144.61,143.45,143.89
1586059200,143.88,143.89,142.6,143.11
1586062800,143.11,144.29,142.75,142.85
1586066400,142.85,143.21,142.01,143.08
1586070000,143.05,143.14,142.39,142.79
1586073600,142.78,143.05,142.11,142.96
1586077200,142.94,143.75,142.53,142.73
1586080800,142.71,143.03,142.2,142.28
1586084400,142.28,143.34,142.2,142.93
1586088000,142.91,143.49,142.63,143.36
1586091600,143.36,144.2,143.09,143.78
1586095200,143.78,143.9,143.11,143.17
1586098800,143.17,144.05,142.88,143.64
1586102400,143.66,143.69,142.47,142.75
1586106000,142.76,143.72,140.68,143.3
1586109600,143.29,143.95,142.67,142.95
1586113200,142.98,143.69,142.95,143.24
1586116800,143.25,143.25,141.79,142.33
1586120400,142.32,142.92,141.77,142.5
1586124000,142.5,143.56,142.5,143.36
1586127600,143.36,143.46,142.45,142.68
1586131200,142.69,144.6,142.6,144.58
1586134800,144.57,144.94,143.77,144.19
1586138400,144.23,144.43,143.13,143.75
1586142000,143.76,144.25,143.76,144.06
1586145600,144.1,148.48,144.07,148.01
1586149200,148.02,149.34,146.87,148.81
1586152800,148.83,151.0,148.14,150.22
1586156400,150.2,150.67,148.26,149.47
1586160000,149.47,150.6,149.1,149.78
1586163600,149.81,155.55,149.76,154.13
1586167200,154.13,155.36,152.9,153.03
1586170800,153.04,154.36,153.04,154.24
1586174400,154.24,156.86,153.56,156.19
1586178000,156.19,158.78,154.6,155.83
1586181600,155.85,156.66,153.93,155.98
1586185200,155.98,161.4,155.63,161.28
1586188800,161.3,164.98,160.15,163.48
1586192400,163.5,166.45,162.37,165.84
1586196000,165.86,166.36,163.53,165.98
1586199600,165.97,167.27,164.61,165.11
1586203200,165.09,166.0,161.37,163.87
1586206800,163.87,166.2,163.32,166.0
1586210400,166.0,166.0,163.95,165.54
1586214000,165.54,172.0,165.26,171.32
