datetime,open,high,low,close
1614902400,27.722,27.746,26.092,26.447
1614906000,26.444,26.544,25.7,25.979
1614909600,25.986,26.568,25.724,26.564
1614913200,26.555,26.72,26.233,26.638
1614916800,26.639,26.639,26.132,26.145
1614920400,26.141,26.418,26.03,26.34
1614924000,26.341,26.528,26.19,26.519
1614927600,26.518,26.963,26.31,26.589
1614931200,26.588,26.667,25.821,26.071
1614934800,26.076,26.462,26.004,26.42
1614938400,26.419,26.574,26.308,26.473
1614942000,26.471,26.798,26.46,26.794
1614945600,26.791,26.902,26.397,26.73
1614949200,26.733,27.169,26.598,27.019
1614952800,27.025,27.58,27.025,27.188
1614956400,27.19,27.52,26.809,26.825
1614960000,26.815,27.26,26.292,26.986
1614963600,26.976,27.76,26.946,27.701
1614967200,27.703,27.8,27.458,27.654
1614970800,27.656,28.08,27.465,28.05
1614974400,28.049,28.205,27.741,28.099
1614978000,28.096,28.26,27.87,28.031
1614981600,28.031,28.252,27.836,28.049
1614985200,28.047,28.139,27.745,27.862
1614988800,27.857,28.352,27.851,27.951
1614992400,27.95,27.992,27.64,27.713
1614996000,27.721,27.726,27.454,27.6
1614999600,27.6,27.672,27.304,27.411
1615003200,27.41,27.449,27.058,27.235
1615006800,27.232,27.5,26.955,27.4
1615010400,27.401,27.75,27.398,27.706
1615014000,27.7,27.973,27.527,27.946
1615017600,27.944,27.985,27.454,27.469
1615021200,27.473,27.632,27.326,27.39
1615024800,27.391,27.558,27.189,27.226
1615028400,27.222,27.385,27.112,27.26
1615032000,27.259,27.293,26.691,26.833
1615035600,26.829,26.86,26.317,26.632
1615039200,26.634,26.899,26.58,26.867
1615042800,26.865,27.19,26.782,26.875
1615046400,26.876,27.346,26.73,27.148
1615050000,27.14,27.569,27.075,27.482
1615053600,27.474,27.748,27.469,27.61
1615057200,27.607,28.191,27.552,28.083
1615060800,28.07,28.344,27.947,28.123
1615064400,28.131,28.332,27.88,27.918
1615068000,27.928,28.414,27.89,28.334
1615071600,28.334,28.373,28.12,28.166
1615075200,28.166,28.592,28.166,28.333
1615078800,28.335,28.695,28.3,28.434
1615082400,28.434,28.946,28.41,28.798
1615086000,28.791,29.15,28.62,28.654
1615089600,28.661,28.87,28.56,28.697
1615093200,28.684,28.714,28.319,28.496
1615096800,28.482,28.666,28.379,28.549
1615100400,28.553,28.784,28.401,28.735
1615104000,28.72,28.964,28.529,28.557
1615107600,28.556,28.838,28.55,28.826
1615111200,28.82,28.881,28.503,28.629
1615114800,28.642,28.665,28.369,28.491
1615118400,28.491,28.574,28.12,28.324
1615122000,28.336,28.34,27.9,27.927
1615125600,27.936,28.25,27.596,27.866
1615129200,27.86,28.007,27.658,27.985
1615132800,27.991,28.3,27.988,28.237
1615136400,28.238,28.25,28.035,28.173
1615140000,28.175,28.179,27.796,27.826
1615143600,27.824,27.896,27.607,27.856
1615147200,27.857,27.857,27.39,27.791
1615150800,27.791,28.08,27.76,28.04
1615154400,28.04,28.274,27.938,28.068
1615158000,28.067,28.68,28.015,28.603
1615161600,28.603,29.018,28.586,28.88
1615165200,28.882,29.115,28.693,28.749
1615168800,28.748,28.834,28.32,28.635
1615172400,28.635,28.75,28.336,28.75
1615176000,28.741,29.113,28.539,29.087
1615179600,29.089,29.504,29.089,29.28
1615183200,29.285,29.486,29.004,29.059
1615186800,29.057,29.139,28.276,28.581
1615190400,28.581,28.76,28.29,28.739
1615194000,28.734,28.888,28.512,28.876
1615197600,28.878,29.395,28.849,29.283
1615201200,29.283,29.403,29.023,29.327
1615204800,29.323,29.879,28.928,29.106
1615208400,29.107,29.959,29.107,29.902
1615212000,29.889,30.297,29.64,30.097
1615215600,30.097,30.851,29.873,30.663
1615219200,30.666,31.152,30.506,30.648
1615222800,30.649,31.007,30.56,30.627
1615226400,30.629,31.017,30.629,30.881
1615230000,30.885,31.336,30.82,31.126
1615233600,31.127,31.315,30.722,30.905
1615237200,30.906,31.364,30.88,31.349
1615240800,31.345,31.364,30.723,30.969
1615244400,30.965,31.894,30.96,31.892
1615248000,31.881,32.024,31.285,31.46
1615251600,31.458,32.07,31.425,31.78
1615255200,31.783,31.838,31.501,31.648
1615258800,31.651,31.959,31.617,31.763
1615262400,31.766,31.796,31.361,31.445
1615266000,31.453,31.722,31.335,31.435
1615269600,31.436,31.445,30.949,30.949
1615273200,30.949,31.236,30.801,31.036
1615276800,31.041,31.422,30.988,31.329
1615280400,31.324,31.602,31.294,31.378
1615284000,31.386,31.522,31.041,31.273
1615287600,31.27,31.379,31.013,31.302
1615291200,31.301,31.301,30.411,30.556
1615294800,30.555,31.48,30.502,31.296
1615298400,31.299,31.309,30.862,30.932
1615302000,30.934,30.955,30.52,30.833
1615305600,30.833,31.045,30.4,30.865
1615309200,30.876,31.108,30.722,30.823
1615312800,30.832,31.056,30.707,30.885
1615316400,30.885,31.204,30.767,31.03
1615320000,31.035,31.236,30.966,31.041
1615323600,31.041,31.159,30.774,31.022
1615327200,31.024,31.453,30.983,31.453
1615330800,31.451,31.633,31.152,31.539
1615334400,31.547,31.862,31.525,31.612
1615338000,31.608,31.752,30.551,30.901
1615341600,30.898,30.908,29.532,30.187
1615345200,30.191,30.342,29.505,29.704
1615348800,29.72,30.308,29.552,30.254
1615352400,30.254,30.344,30.012,30.278
1615356000,30.279,30.519,30.188,30.412
1615359600,30.415,30.698,30.389,30.605
1615363200,30.606,30.874,30.459,30.815
1615366800,30.814,30.968,30.571,30.836
1615370400,30.832,30.889,30.314,30.398
1615374000,30.395,30.6,30.226,30.512
1615377600,30.518,30.684,30.31,30.418
1615381200,30.421,31.0,30.328,30.963
1615384800,30.967,31.035,30.684,30.79
1615388400,30.786,30.9,30.53,30.688
1615392000,30.685,30.806,30.358,30.717
1615395600,30.719,30.855,30.572,30.699
1615399200,30.689,30.824,30.32,30.472
1615402800,30.469,30.628,30.3,30.341
1615406400,30.342,30.38,29.75,29.894
1615410000,29.894,30.09,29.3,29.993
1615413600,29.987,30.197,29.91,30.15
1615417200,30.151,30.168,29.539,29.919
1615420800,29.92,29.992,29.216,29.226
1615424400,29.227,29.432,28.783,29.31
1615428000,29.309,29.55,29.126,29.494
1615431600,29.493,29.56,29.205,29.401
1615435200,29.398,29.6,29.309,29.486
1615438800,29.484,29.484,29.097,29.329
1615442400,29.329,29.697,29.153,29.658
1615446000,29.661,29.807,29.258,29.289
1615449600,29.296,29.309,28.538,29.057
1615453200,29.057,29.057,28.685,28.829
1615456800,28.832,29.411,28.784,29.4
1615460400,29.402,29.528,29.351,29.464
1615464000,29.464,29.702,29.407,29.675
1615467600,29.674,29.95,29.673,29.88
1615471200,29.884,30.1,29.473,29.627
1615474800,29.624,29.817,29.032,29.327
1615478400,29.336,29.632,29.144,29.477
1615482000,29.48,29.735,29.281,29.493
1615485600,29.492,29.772,29.409,29.662
1615489200,29.66,29.736,29.312,29.388
1615492800,29.378,29.773,29.309,29.561
1615496400,29.56,30.432,29.555,30.324
1615500000,30.33,30.519,29.824,30.024
1615503600,30.021,30.34,30.001,30.175
1615507200,30.172,30.489,29.546,29.87
1615510800,29.875,30.169,29.778,30.051
1615514400,30.047,30.233,29.776,30.123
1615518000,30.127,30.22,29.915,30.039
1615521600,30.038,30.136,29.592,29.655
