datetime,open,high,low,close
1581292800,77.1,77.48,77.1,77.43
1581292980,77.43,77.5,77.21,77.38
1581293160,77.41,77.49,77.32,77.48
1581293340,77.48,77.65,77.48,77.5
1581293520,77.5,77.65,77.44,77.65
1581293700,77.64,77.64,77.3,77.31
1581293880,77.32,77.39,77.21,77.21
1581294060,77.19,77.46,77.14,77.35
1581294240,77.33,77.43,77.25,77.36
1581294420,77.38,77.38,77.19,77.28
1581294600,77.29,77.35,77.16,77.22
1581294780,77.22,77.26,77.19,77.26
1581294960,77.26,77.32,77.26,77.3
1581295140,77.32,77.36,77.27,77.3
1581295320,77.31,77.39,77.29,77.39
1581295500,77.36,77.4,77.32,77.4
1581295680,77.39,77.4,77.27,77.31
1581295860,77.3,77.38,77.3,77.34
1581296040,77.34,77.34,77.18,77.24
1581296220,77.24,77.38,77.24,77.38
1581296400,77.38,77.38,77.19,77.25
1581296580,77.25,77.3,77.2,77.22
1581296760,77.14,77.14,76.91,77.09
1581296940,77.06,77.17,76.99,77.07
1581297120,77.01,77.1,77.01,77.04
1581297300,77.02,77.02,76.77,76.78
1581297480,76.77,76.98,76.76,76.88
1581297660,76.9,76.92,76.81,76.92
1581297840,76.9,76.92,76.86,76.92
1581298020,76.91,76.91,76.74,76.78
1581298200,76.74,76.74,76.52,76.59
1581298380,76.6,76.67,76.57,76.59
1581298560,76.59,76.6,76.45,76.58
1581298740,76.58,76.65,76.47,76.64
1581298920,76.64,76.68,76.58,76.67
1581299100,76.66,76.81,76.66,76.81
1581299280,76.8,76.84,76.78,76.79
1581299460,76.79,76.79,76.64,76.72
1581299640,76.71,76.72,76.52,76.6
1581299820,76.6,76.6,76.44,76.55
1581300000,76.55,76.7,76.54,76.63
1581300180,76.62,76.62,76.33,76.37
1581300360,76.37,76.5,76.33,76.38
1581300540,76.38,76.42,76.22,76.25
1581300720,76.26,76.52,76.26,76.46
1581300900,76.48,76.61,76.43,76.43
1581301080,76.41,76.5,76.33,76.46
1581301260,76.47,76.69,76.47,76.63
1581301440,76.63,76.68,76.62,76.67
1581301620,76.67,76.69,76.61,76.61
1581301800,76.58,76.66,76.58,76.66
1581301980,76.69,76.73,76.66,76.72
1581302160,76.72,76.72,76.63,76.65
1581302340,76.65,76.65,76.58,76.64
