datetime,open,high,low,close
1609459200,1.5088,1.5194,1.5061,1.5152
1609459380,1.5144,1.518,1.5137,1.515
1609459560,1.517,1.5188,1.5144,1.5145
1609459740,1.5145,1.5174,1.5122,1.5122
1609459920,1.5119,1.5148,1.5026,1.5026
1609460100,1.5024,1.5024,1.5001,1.5012
1609460280,1.5002,1.5032,1.5002,1.5032
1609460460,1.5006,1.5042,1.5006,1.5032
1609460640,1.5038,1.5048,1.5002,1.5002
1609460820,1.5007,1.5007,1.499,1.5005
1609461000,1.5005,1.5034,1.5005,1.5034
1609461180,1.5016,1.5043,1.5016,1.504
1609461360,1.5065,1.5087,1.5059,1.5063
1609461540,1.507,1.5081,1.507,1.5075
1609461720,1.5089,1.5157,1.5088,1.5153
1609461900,1.5152,1.5271,1.5148,1.5245
1609462080,1.5248,1.5425,1.5244,1.533
1609462260,1.5342,1.5404,1.5342,1.5401
1609462440,1.5396,1.5401,1.5309,1.5343
1609462620,1.5347,1.5442,1.5344,1.5442
1609462800,1.5442,1.5555,1.5322,1.5496
1609462980,1.5499,1.5611,1.5496,1.5586
1609463160,1.5587,1.5587,1.55,1.5548
1609463340,1.5541,1.5657,1.55,1.5536
1609463520,1.5503,1.5748,1.5447,1.5573
1609463700,1.5597,1.5774,1.5576,1.5774
1609463880,1.5775,1.591,1.5687,1.5792
1609464060,1.5818,1.5926,1.5786,1.5901
1609464240,1.5927,1.5979,1.5885,1.5903
1609464420,1.5903,1.6046,1.5903,1.5984
1609464600,1.5954,1.599,1.5932,1.5946
1609464780,1.5946,1.6023,1.593,1.5992
1609464960,1.5993,1.61,1.5993,1.6038
1609465140,1.6038,1.6049,1.5953,1.602
1609465320,1.6015,1.6057,1.5942,1.5978
1609465500,1.5958,1.5993,1.5725,1.5741
1609465680,1.5746,1.5762,1.5712,1.5712
1609465860,1.5729,1.5731,1.5657,1.5685
1609466040,1.5685,1.5752,1.5685,1.5731
1609466220,1.5733,1.5776,1.5733,1.5734
