datetime,open,high,low,close
1609459200,0.02676,0.02682,0.02648,0.02679
1609462800,0.0268,0.02739,0.02679,0.02719
1609466400,0.02718,0.02727,0.02704,0.02726
1609470000,0.02726,0.0273,0.02712,0.02713
1609473600,0.02714,0.02723,0.027,0.02705
1609477200,0.02704,0.02707,0.02694,0.02699
1609480800,0.02699,0.02707,0.02676,0.02685
1609484400,0.02686,0.02686,0.02661,0.02682
1609488000,0.02682,0.02693,0.02653,0.02664
1609491600,0.02664,0.02691,0.02662,0.02684
1609495200,0.02684,0.02699,0.02682,0.02692
1609498800,0.02692,0.02707,0.02686,0.02703
1609502400,0.02702,0.02723,0.02678,0.02686
1609506000,0.02685,0.0271,0.02685,0.02709
1609509600,0.02708,0.02731,0.02701,0.02707
1609513200,0.02708,0.02717,0.02688,0.02703
1609516800,0.02704,0.02717,0.02695,0.02712
1609520400,0.02713,0.02718,0.0268,0.02689
1609524000,0.02688,0.027,0.02641,0.02668
1609527600,0.02667,0.02674,0.02654,0.02664
1609531200,0.02664,0.02682,0.02657,0.02677
1609534800,0.02678,0.02686,0.02672,0.02673
1609538400,0.02674,0.02689,0.02671,0.02684
1609542000,0.02684,0.0269,0.0268,0.02684
1609545600,0.02684,0.02699,0.02655,0.02658
1609549200,0.02658,0.02683,0.02647,0.02682
1609552800,0.02682,0.02694,0.0268,0.02682
1609556400,0.02681,0.02696,0.02681,0.02691
1609560000,0.02691,0.02696,0.02675,0.0269
1609563600,0.0269,0.02699,0.02689,0.02697
1609567200,0.02697,0.02698,0.02678,0.02687
1609570800,0.02687,0.02692,0.0267,0.02672
1609574400,0.02672,0.02678,0.02661,0.02669
1609578000,0.0267,0.02677,0.0265,0.02658
1609581600,0.02656,0.02691,0.02652,0.02665
1609585200,0.02665,0.02677,0.02664,0.02672
1609588800,0.02671,0.02716,0.02658,0.02713
1609592400,0.02713,0.02718,0.02693,0.02699
1609596000,0.027,0.02702,0.02678,0.02699
1609599600,0.02699,0.02704,0.02687,0.02691
1609603200,0.02691,0.02718,0.02667,0.02716
1609606800,0.02716,0.02737,0.02702,0.02706
1609610400,0.02707,0.02717,0.02695,0.02711
1609614000,0.02713,0.02796,0.0271,0.02782
1609617600,0.02782,0.02782,0.02688,0.02692
1609621200,0.02694,0.02721,0.02668,0.02709
1609624800,0.02709,0.02724,0.02696,0.02715
1609628400,0.02715,0.02728,0.02696,0.02721
1609632000,0.02722,0.02743,0.02699,0.02703
1609635600,0.02703,0.02718,0.02697,0.02704
1609639200,0.02705,0.02713,0.02703,0.02707
1609642800,0.02707,0.02708,0.02694,0.02694
1609646400,0.02695,0.02701,0.02688,0.02697
1609650000,0.02697,0.02713,0.02689,0.02691
1609653600,0.02691,0.02705,0.02672,0.02686
1609657200,0.02686,0.02687,0.02668,0.0267
