datetime,open,high,low,close
1608940800,0.15234,0.15274,0.15201,0.15247
1608940980,0.15247,0.1525,0.15159,0.15221
1608941160,0.15223,0.15262,0.152,0.15253
1608941340,0.15249,0.1527,0.15213,0.15253
1608941520,0.15266,0.15285,0.15244,0.15251
1608941700,0.15251,0.15259,0.15171,0.15186
1608941880,0.15174,0.15193,0.15084,0.15123
1608942060,0.15123,0.15203,0.15112,0.15193
1608942240,0.15191,0.15214,0.15178,0.1519
1608942420,0.15196,0.15241,0.15195,0.15208
1608942600,0.1521,0.15225,0.15173,0.15193
1608942780,0.15196,0.15229,0.15174,0.15182
1608942960,0.15186,0.15206,0.15169,0.15206
1608943140,0.1521,0.15227,0.15182,0.15205
1608943320,0.15194,0.15203,0.15169,0.15179
1608943500,0.15183,0.15184,0.15126,0.15144
1608943680,0.15138,0.15159,0.15095,0.15126
1608943860,0.15127,0.15144,0.1511,0.15133
1608944040,0.15124,0.1514,0.1512,0.1514
1608944220,0.15141,0.15141,0.15076,0.15095
1608944400,0.15089,0.15117,0.1506,0.15101
1608944580,0.15102,0.15111,0.15046,0.15057
1608944760,0.15055,0.15072,0.15026,0.15048
1608944940,0.15048,0.1505,0.15013,0.15032
1608945120,0.15032,0.1504,0.15013,0.15015
1608945300,0.15015,0.15022,0.14948,0.14967
1608945480,0.14967,0.14988,0.14933,0.14947
1608945660,0.14947,0.14951,0.14868,0.14935
1608945840,0.14935,0.14989,0.1492,0.14928
1608946020,0.14928,0.14946,0.14891,0.14914
1608946200,0.14913,0.15046,0.14906,0.15034
1608946380,0.15028,0.15032,0.14969,0.14974
1608946560,0.14979,0.15012,0.14954,0.15006
1608946740,0.15003,0.15026,0.14976,0.15002
1608946920,0.15001,0.15065,0.14995,0.15054
1608947100,0.15057,0.1508,0.15014,0.15072
1608947280,0.15069,0.15108,0.15053,0.15108
1608947460,0.15106,0.15124,0.15053,0.15079
1608947640,0.15074,0.15095,0.1503,0.15047
1608947820,0.15037,0.15064,0.15024,0.15034
1608948000,0.15034,0.15051,0.1501,0.15049
1608948180,0.15041,0.15067,0.15029,0.15048
1608948360,0.1505,0.15099,0.15044,0.15084
1608948540,0.15085,0.15097,0.15072,0.15093
1608948720,0.15093,0.15112,0.15086,0.1511
1608948900,0.15109,0.1511,0.15018,0.15043
1608949080,0.15047,0.15052,0.14996,0.15043
1608949260,0.15047,0.15047,0.15002,0.15002
1608949440,0.15007,0.15035,0.1495,0.15015
1608949620,0.15013,0.15036,0.15004,0.15012
1608949800,0.15011,0.15038,0.14979,0.15028
1608949980,0.15021,0.15044,0.14974,0.15028
1608950160,0.15029,0.1503,0.1498,0.14993
1608950340,0.14996,0.15011,0.14981,0.14987
1608950520,0.14993,0.1502,0.14979,0.14996
1608950700,0.14988,0.15012,0.1498,0.15005
1608950880,0.15005,0.15026,0.14999,0.15017
1608951060,0.15023,0.15034,0.1501,0.15014
1608951240,0.15022,0.15034,0.15004,0.15034
1608951420,0.15035,0.15039,0.15005,0.15037
1608951600,0.1503,0.15038,0.15022,0.15032
1608951780,0.15027,0.15032,0.15012,0.15018
1608951960,0.15018,0.15037,0.15006,0.15019
1608952140,0.15011,0.15036,0.15008,0.15033
1608952320,0.1502,0.15035,0.15006,0.15022
1608952500,0.15022,0.15167,0.15017,0.15143
1608952680,0.15138,0.15379,0.15134,0.15304
1608952860,0.15305,0.15344,0.15256,0.15291
1608953040,0.15297,0.15358,0.15235,0.15242
1608953220,0.15245,0.153,0.1524,0.15254
1608953400,0.15254,0.15312,0.1523,0.15266
1608953580,0.15271,0.1532,0.15243,0.15312
1608953760,0.15316,0.15382,0.15308,0.15377
1608953940,0.15374,0.15377,0.15337,0.15355
1608954120,0.15356,0.15555,0.15355,0.15553
1608954300,0.15553,0.1557,0.15384,0.15385
1608954480,0.15388,0.15408,0.15311,0.15371
1608954660,0.1537,0.15398,0.15355,0.15389
1608954840,0.15392,0.15416,0.15359,0.15376
1608955020,0.15377,0.15402,0.15363,0.15373
1608955200,0.15383,0.15402,0.15368,0.15383
1608955380,0.15382,0.15399,0.15335,0.15369
1608955560,0.15359,0.15383,0.15332,0.15381
1608955740,0.15383,0.15421,0.15365,0.15389
1608955920,0.15391,0.15403,0.15362,0.15378
1608956100,0.15378,0.15412,0.15364,0.15375
1608956280,0.15375,0.1538,0.15303,0.15375
1608956460,0.1538,0.15391,0.1535,0.15352
1608956640,0.15351,0.1539,0.15351,0.15372
1608956820,0.15372,0.15372,0.15308,0.1534
1608957000,0.15342,0.15342,0.15262,0.15262
1608957180,0.15265,0.15284,0.15213,0.15231
1608957360,0.15234,0.15239,0.15194,0.15215
1608957540,0.15216,0.15222,0.15196,0.15209
1608957720,0.15206,0.15232,0.1518,0.15228
1608957900,0.15223,0.15241,0.15195,0.15199
1608958080,0.15202,0.15209,0.15132,0.15138
1608958260,0.15136,0.15161,0.1511,0.15137
1608958440,0.15136,0.1515,0.15111,0.15131
1608958620,0.1513,0.1513,0.15085,0.15085
1608958800,0.15089,0.15127,0.15086,0.15113
1608958980,0.15114,0.15126,0.151,0.15105
1608959160,0.15105,0.15157,0.15103,0.1515
1608959340,0.15156,0.15158,0.151,0.15128
1608959520,0.15126,0.15134,0.151,0.15134
1608959700,0.15128,0.15186,0.1511,0.15174
1608959880,0.15169,0.15179,0.1514,0.15149
1608960060,0.15153,0.15158,0.15109,0.15148
1608960240,0.1515,0.15169,0.15126,0.1515
1608960420,0.15147,0.15161,0.15133,0.15149
1608960600,0.15154,0.1517,0.15141,0.15144
1608960780,0.15142,0.15144,0.15094,0.15103
1608960960,0.15104,0.15134,0.15099,0.15105
1608961140,0.1511,0.15123,0.15045,0.15053
1608961320,0.15046,0.15087,0.15043,0.15072
1608961500,0.15074,0.15206,0.15062,0.15206
1608961680,0.15207,0.1522,0.15179,0.15179
1608961860,0.15175,0.1521,0.15163,0.15188
1608962040,0.1519,0.15195,0.15129,0.15139
1608962220,0.15139,0.15141,0.15058,0.15058
1608962400,0.15062,0.15068,0.15014,0.15035
1608962580,0.15035,0.15098,0.15027,0.15084
1608962760,0.15086,0.15131,0.15084,0.15102
1608962940,0.15102,0.1511,0.15078,0.15087
1608963120,0.15082,0.15095,0.15066,0.1508
1608963300,0.15082,0.15117,0.15052,0.15111
1608963480,0.15115,0.15147,0.15105,0.15137
1608963660,0.15134,0.15148,0.15102,0.15104
1608963840,0.15103,0.15109,0.15073,0.15078
1608964020,0.15078,0.15139,0.15062,0.15074
1608964200,0.15073,0.15073,0.1497,0.15013
1608964380,0.15019,0.15049,0.15001,0.15017
1608964560,0.15016,0.15049,0.15013,0.15041
1608964740,0.15041,0.15054,0.1502,0.15029
1608964920,0.15029,0.15041,0.1502,0.15034
1608965100,0.15032,0.1504,0.15018,0.15039
1608965280,0.15039,0.15131,0.15037,0.15128
1608965460,0.15131,0.1515,0.1511,0.15134
1608965640,0.15132,0.15156,0.15125,0.15152
1608965820,0.15145,0.15224,0.15145,0.15219
1608966000,0.15219,0.15236,0.15114,0.15115
1608966180,0.15115,0.15156,0.15112,0.15131
1608966360,0.15133,0.15136,0.15027,0.15071
1608966540,0.15073,0.15094,0.15028,0.15029
1608966720,0.15032,0.15101,0.15026,0.15098
1608966900,0.15095,0.15095,0.15043,0.15049
1608967080,0.15046,0.1506,0.15028,0.15037
1608967260,0.15035,0.1507,0.15032,0.1507
1608967440,0.15072,0.15081,0.15015,0.15048
1608967620,0.1505,0.15092,0.15041,0.15071
1608967800,0.15062,0.15087,0.15043,0.15077
1608967980,0.15074,0.15083,0.15057,0.15057
1608968160,0.15057,0.15057,0.15003,0.15007
1608968340,0.15005,0.15018,0.14946,0.1495
1608968520,0.14952,0.14955,0.14893,0.14933
1608968700,0.14934,0.14941,0.14875,0.14882
1608968880,0.14876,0.14884,0.14696,0.14757
1608969060,0.14759,0.14781,0.14725,0.14772
1608969240,0.14773,0.14811,0.14733,0.14798
1608969420,0.14803,0.14909,0.14793,0.14899
1608969600,0.14898,0.15004,0.1487,0.15004
1608969780,0.15005,0.15055,0.1498,0.1503
1608969960,0.15026,0.15034,0.15,0.15025
1608970140,0.15025,0.15028,0.15,0.15019
1608970320,0.15016,0.15073,0.15015,0.15062
1608970500,0.15065,0.15073,0.15022,0.15023
1608970680,0.15021,0.15036,0.15,0.15006
1608970860,0.15006,0.15024,0.1497,0.14986
1608971040,0.14993,0.15054,0.14976,0.15046
1608971220,0.15047,0.15101,0.15047,0.15091
1608971400,0.15091,0.15152,0.15074,0.15094
1608971580,0.15093,0.15114,0.15019,0.15057
1608971760,0.1506,0.15077,0.15002,0.1502
1608971940,0.15023,0.15044,0.15006,0.15039
1608972120,0.1504,0.15043,0.15017,0.15023
1608972300,0.15028,0.15048,0.15,0.15013
1608972480,0.15015,0.15028,0.14989,0.15003
1608972660,0.15001,0.15028,0.14992,0.15015
1608972840,0.15016,0.15039,0.15013,0.15028
1608973020,0.15028,0.15064,0.15016,0.15025
1608973200,0.15013,0.15021,0.14979,0.14988
1608973380,0.14989,0.15024,0.14982,0.15021
1608973560,0.15026,0.15055,0.15002,0.1501
1608973740,0.15012,0.15013,0.14935,0.14954
1608973920,0.14955,0.14966,0.14938,0.14943
1608974100,0.14944,0.14967,0.14902,0.1495
