datetime,open,high,low,close
1612915200,169.87,170.74,169.85,170.43
1612915380,170.37,170.66,169.56,169.8
1612915560,169.74,170.24,169.55,169.68
1612915740,169.64,169.89,169.31,169.43
1612915920,169.48,170.04,169.42,170.04
1612916100,170.0,170.38,169.97,170.37
1612916280,170.32,170.56,169.63,169.83
1612916460,169.83,170.25,169.81,170.2
1612916640,170.2,170.54,170.18,170.38
1612916820,170.37,170.55,170.35,170.37
1612917000,170.32,170.47,170.26,170.39
1612917180,170.39,170.51,170.25,170.47
1612917360,170.51,170.74,170.21,170.49
1612917540,170.55,170.71,170.5,170.61
1612917720,170.62,170.7,170.35,170.54
1612917900,170.49,170.76,170.43,170.76
1612918080,170.77,171.23,170.77,171.07
1612918260,171.07,171.07,170.65,170.73
1612918440,170.72,170.72,170.37,170.53
1612918620,170.59,170.7,170.29,170.54
1612918800,170.56,170.63,170.37,170.61
1612918980,170.61,171.03,170.61,170.84
1612919160,170.88,171.17,170.82,171.06
1612919340,171.06,171.43,170.87,171.43
1612919520,171.43,171.74,171.26,171.53
1612919700,171.53,171.92,171.53,171.9
1612919880,171.91,172.07,171.2,171.25
1612920060,171.25,171.29,170.42,170.78
1612920240,170.78,171.04,170.69,170.93
1612920420,170.97,171.28,170.95,171.26
1612920600,171.3,172.29,171.3,172.2
1612920780,172.2,172.99,172.17,172.94
1612920960,172.94,173.47,172.89,173.24
1612921140,173.3,173.48,172.37,172.39
1612921320,172.39,173.19,172.38,173.08
1612921500,173.06,173.51,173.05,173.45
1612921680,173.45,173.61,173.35,173.61
1612921860,173.62,174.09,173.38,173.45
1612922040,173.44,173.94,173.05,173.89
1612922220,173.88,174.19,173.24,173.27
1612922400,173.37,173.64,173.17,173.39
1612922580,173.43,173.93,173.4,173.87
1612922760,173.83,174.36,173.83,174.09
1612922940,174.05,174.11,173.37,173.57
1612923120,173.55,173.78,173.41,173.61
1612923300,173.55,173.77,173.22,173.29
1612923480,173.29,173.5,173.13,173.35
1612923660,173.32,173.65,173.27,173.64
1612923840,173.65,173.92,173.48,173.49
1612924020,173.49,173.93,173.35,173.93
1612924200,173.94,173.98,173.72,173.72
1612924380,173.73,173.95,173.26,173.95
1612924560,173.95,173.99,173.59,173.68
1612924740,173.69,173.99,173.62,173.99
1612924920,173.99,174.39,173.89,174.29
1612925100,174.32,174.76,174.31,174.67
