datetime,open,high,low,close
1613865600,0.5118,0.5142,0.5061,0.5084
1613865780,0.5083,0.5105,0.5037,0.5042
1613865960,0.5041,0.5101,0.503,0.5078
1613866140,0.5078,0.5112,0.5068,0.5099
1613866320,0.5098,0.5115,0.5074,0.5082
1613866500,0.5081,0.517,0.5081,0.516
1613866680,0.5161,0.5176,0.5138,0.5166
1613866860,0.5165,0.5195,0.515,0.5176
1613867040,0.5175,0.5207,0.5158,0.5177
1613867220,0.5178,0.5205,0.5163,0.5195
1613867400,0.5194,0.5237,0.5194,0.5212
1613867580,0.5212,0.5227,0.5184,0.5193
1613867760,0.5194,0.5219,0.5181,0.5188
1613867940,0.5187,0.5196,0.5166,0.5182
1613868120,0.5182,0.52,0.517,0.5197
1613868300,0.5195,0.52,0.5171,0.5184
1613868480,0.5185,0.5187,0.5166,0.5179
1613868660,0.5179,0.5195,0.5163,0.517
1613868840,0.5171,0.5204,0.517,0.5189
1613869020,0.5188,0.5215,0.5185,0.5214
1613869200,0.5214,0.5217,0.5177,0.5186
1613869380,0.5186,0.522,0.5186,0.5206
1613869560,0.5206,0.5232,0.5205,0.5212
1613869740,0.5211,0.5225,0.5202,0.5219
1613869920,0.5218,0.5224,0.5203,0.5222
1613870100,0.5223,0.5235,0.5204,0.5204
1613870280,0.5204,0.5219,0.5191,0.5195
1613870460,0.5196,0.5199,0.5165,0.5169
1613870640,0.5169,0.5185,0.5157,0.5159
1613870820,0.5159,0.5176,0.5155,0.5164
1613871000,0.5163,0.5167,0.5142,0.5149
1613871180,0.515,0.5179,0.5137,0.5171
1613871360,0.517,0.5173,0.5138,0.5144
1613871540,0.5144,0.5179,0.5144,0.5166
1613871720,0.5167,0.5212,0.5167,0.5195
1613871900,0.5195,0.5198,0.5176,0.519
1613872080,0.519,0.5212,0.5189,0.521
1613872260,0.521,0.5239,0.5207,0.5233
1613872440,0.5232,0.5255,0.5222,0.525
1613872620,0.525,0.5253,0.5228,0.5246
1613872800,0.5246,0.5248,0.5225,0.524
1613872980,0.5241,0.5244,0.5209,0.522
1613873160,0.522,0.5229,0.5213,0.5217
1613873340,0.5217,0.5237,0.5213,0.5236
1613873520,0.5235,0.5244,0.5222,0.5236
1613873700,0.5236,0.5256,0.5235,0.5245
1613873880,0.5246,0.5253,0.5235,0.5236
1613874060,0.5237,0.5281,0.5237,0.5259
1613874240,0.5259,0.5263,0.524,0.5243
1613874420,0.5242,0.5247,0.523,0.5234
1613874600,0.5234,0.5254,0.5223,0.5243
1613874780,0.5243,0.5255,0.5228,0.5235
1613874960,0.5234,0.5246,0.5233,0.5246
1613875140,0.5245,0.5265,0.5231,0.5262
1613875320,0.5262,0.5264,0.5253,0.5254
1613875500,0.5255,0.528,0.5248,0.5276
1613875680,0.5276,0.5285,0.5265,0.5282
1613875860,0.5282,0.5291,0.524,0.5242
1613876040,0.5242,0.5252,0.524,0.5243
1613876220,0.5243,0.5253,0.5234,0.5238
1613876400,0.5238,0.5298,0.5238,0.5279
1613876580,0.528,0.5283,0.5254,0.5276
1613876760,0.5275,0.5289,0.5266,0.5274
1613876940,0.5274,0.5311,0.5273,0.5295
1613877120,0.5295,0.5335,0.5295,0.5324
1613877300,0.5324,0.5325,0.5299,0.5302
