datetime,open,high,low,close
1583452800,3.095,3.123,3.04,3.043
1583456400,3.043,3.083,3.036,3.044
1583460000,3.046,3.115,3.038,3.081
1583463600,3.079,3.103,3.067,3.075
1583467200,3.076,3.116,3.074,3.077
1583470800,3.077,3.188,3.061,3.166
1583474400,3.166,3.184,3.132,3.169
1583478000,3.169,3.214,3.162,3.191
1583481600,3.191,3.22,3.171,3.22
1583485200,3.22,3.233,3.198,3.22
1583488800,3.222,3.229,3.187,3.204
1583492400,3.204,3.208,3.16,3.18
1583496000,3.18,3.192,3.138,3.147
1583499600,3.147,3.157,3.116,3.126
1583503200,3.125,3.158,3.118,3.155
1583506800,3.157,3.163,3.061,3.082
1583510400,3.084,3.111,3.08,3.101
1583514000,3.101,3.118,3.089,3.099
1583517600,3.098,3.108,3.084,3.089
1583521200,3.09,3.138,3.084,3.113
1583524800,3.113,3.163,3.091,3.154
1583528400,3.154,3.159,3.117,3.125
1583532000,3.125,3.138,3.1,3.135
1583535600,3.136,3.184,3.128,3.18
1583539200,3.18,3.188,3.145,3.153
1583542800,3.152,3.161,3.115,3.128
1583546400,3.128,3.148,3.123,3.148
1583550000,3.148,3.182,3.146,3.162
1583553600,3.162,3.178,3.146,3.175
1583557200,3.175,3.267,3.166,3.219
1583560800,3.219,3.225,3.174,3.189
1583564400,3.189,3.214,3.18,3.206
1583568000,3.208,3.245,3.208,3.23
1583571600,3.229,3.23,3.187,3.189
1583575200,3.189,3.207,3.177,3.189
1583578800,3.189,3.19,3.16,3.181
1583582400,3.182,3.22,3.165,3.168
1583586000,3.168,3.182,3.162,3.174
1583589600,3.174,3.194,3.126,3.164
1583593200,3.163,3.178,3.144,3.175
1583596800,3.174,3.24,3.118,3.128
1583600400,3.128,3.132,3.033,3.052
1583604000,3.052,3.057,2.976,3.047
1583607600,3.047,3.087,3.033,3.074
1583611200,3.074,3.075,3.016,3.024
1583614800,3.024,3.061,3.023,3.027
1583618400,3.027,3.058,3.02,3.042
1583622000,3.044,3.051,2.988,2.99
1583625600,2.99,2.992,2.8,2.897
1583629200,2.896,2.915,2.843,2.854
