datetime,open,high,low,close
1583452800,51.92,52.12,51.87,52.11
1583452980,52.09,52.24,52.09,52.19
1583453160,52.19,52.31,52.17,52.31
1583453340,52.31,52.34,52.25,52.31
1583453520,52.31,52.31,52.2,52.22
1583453700,52.22,52.22,52.15,52.17
1583453880,52.17,52.17,52.04,52.05
1583454060,52.05,52.14,52.05,52.11
1583454240,52.11,52.13,51.93,52.0
1583454420,52.0,52.12,52.0,52.04
1583454600,52.04,52.07,51.97,52.0
1583454780,51.98,52.0,51.95,51.95
1583454960,51.95,51.98,51.88,51.95
1583455140,51.98,51.98,51.84,51.84
1583455320,51.91,51.91,51.84,51.86
1583455500,51.86,51.9,51.76,51.9
1583455680,51.9,51.93,51.85,51.86
1583455860,51.89,51.9,51.84,51.89
1583456040,51.89,51.89,51.7,51.79
1583456220,51.79,51.79,51.66,51.71
1583456400,51.71,51.75,51.63,51.75
1583456580,51.75,51.79,51.75,51.78
1583456760,51.78,51.82,51.71,51.77
1583456940,51.77,51.82,51.77,51.8
1583457120,51.8,51.82,51.8,51.82
1583457300,51.82,51.84,51.8,51.82
1583457480,51.82,51.82,51.75,51.8
1583457660,51.8,51.82,51.77,51.77
1583457840,51.77,51.8,51.76,51.8
1583458020,51.8,51.91,51.8,51.89
1583458200,51.91,51.96,51.89,51.9
1583458380,51.92,52.12,51.9,52.03
1583458560,52.03,52.08,52.03,52.08
1583458740,52.06,52.07,51.98,52.01
1583458920,52.01,52.01,51.98,52.01
1583459100,52.01,52.18,52.01,52.14
1583459280,52.09,52.09,51.8,51.83
1583459460,51.83,51.96,51.81,51.92
1583459640,51.92,51.96,51.82,51.87
1583459820,51.87,51.92,51.83,51.92
1583460000,51.92,51.92,51.81,51.85
1583460180,51.85,51.88,51.83,51.88
1583460360,51.88,51.88,51.86,51.88
1583460540,51.88,51.88,51.78,51.85
1583460720,51.85,51.88,51.85,51.88
1583460900,51.88,52.11,51.88,52.11
1583461080,52.11,52.11,52.05,52.09
1583461260,52.09,52.09,52.04,52.09
1583461440,52.09,52.12,52.01,52.1
1583461620,52.1,52.2,52.1,52.2
1583461800,52.2,52.36,52.17,52.36
1583461980,52.36,52.36,52.17,52.26
1583462160,52.26,52.32,52.13,52.21
1583462340,52.21,52.26,52.2,52.2
1583462520,52.2,52.26,52.2,52.26
1583462700,52.26,52.26,52.1,52.1
1583462880,52.1,52.1,52.04,52.06
1583463060,52.06,52.07,51.93,51.99
1583463240,51.99,52.0,51.97,51.97
1583463420,51.97,52.03,51.9,51.95
1583463600,51.95,52.0,51.9,51.93
1583463780,51.93,52.01,51.93,51.98
1583463960,51.98,52.03,51.98,52.03
1583464140,52.03,52.03,51.83,51.85
1583464320,51.85,51.97,51.82,51.94
1583464500,51.95,51.95,51.9,51.94
1583464680,51.94,51.94,51.84,51.87
1583464860,51.87,51.87,51.79,51.85
1583465040,51.85,51.86,51.79,51.86
