datetime,open,high,low,close
1593388800,41.37,41.44,41.2,41.34
1593392400,41.34,41.54,41.33,41.53
1593396000,41.54,41.56,41.21,41.29
1593399600,41.29,41.29,41.02,41.1
1593403200,41.1,41.26,41.04,41.18
1593406800,41.19,41.41,41.02,41.25
1593410400,41.25,41.25,40.65,40.9
1593414000,40.88,40.96,40.7,40.93
1593417600,40.92,40.93,40.59,40.92
1593421200,40.92,41.18,40.85,41.13
1593424800,41.13,41.16,40.99,41.01
1593428400,41.02,41.11,40.9,41.09
1593432000,41.09,41.9,41.02,41.57
1593435600,41.57,41.58,40.98,41.1
1593439200,41.1,41.42,41.07,41.16
1593442800,41.16,41.59,41.16,41.47
1593446400,41.47,41.64,41.43,41.52
1593450000,41.52,41.67,41.37,41.64
1593453600,41.61,41.75,41.52,41.58
1593457200,41.58,41.63,41.55,41.61
1593460800,41.59,41.8,41.55,41.73
1593464400,41.7,41.95,41.7,41.89
1593468000,41.89,42.33,41.6,41.88
1593471600,41.87,41.98,41.79,41.88
1593475200,41.89,42.0,41.8,41.89
1593478800,41.92,42.09,41.78,42.0
1593482400,41.99,41.99,41.75,41.84
1593486000,41.84,41.84,41.66,41.66
1593489600,41.68,41.7,41.42,41.44
1593493200,41.44,41.51,41.18,41.24
1593496800,41.25,41.57,41.24,41.52
1593500400,41.52,41.54,41.23,41.28
1593504000,41.28,41.34,41.13,41.22
1593507600,41.22,41.44,41.22,41.37
1593511200,41.36,41.47,41.25,41.4
1593514800,41.4,41.46,41.3,41.42
1593518400,41.41,41.42,40.85,41.08
1593522000,41.08,41.28,40.75,41.14
1593525600,41.14,41.35,41.06,41.31
1593529200,41.31,41.61,41.23,41.4
1593532800,41.4,41.42,41.19,41.31
1593536400,41.3,41.31,40.89,41.05
1593540000,41.05,41.09,40.93,40.97
1593543600,40.97,41.26,40.93,41.14
1593547200,41.14,41.26,41.09,41.16
1593550800,41.17,41.33,41.15,41.22
1593554400,41.22,41.23,41.09,41.14
1593558000,41.14,41.32,41.13,41.19
1593561600,41.19,41.19,40.96,41.11
1593565200,41.12,41.18,41.02,41.16
1593568800,41.15,41.28,41.09,41.28
1593572400,41.28,41.53,41.08,41.33
1593576000,41.33,41.48,41.33,41.37
1593579600,41.36,41.52,41.33,41.45
1593583200,41.44,41.47,41.13,41.27
1593586800,41.26,41.49,41.24,41.32
1593590400,41.3,41.76,41.3,41.6
1593594000,41.6,41.67,41.54,41.58
1593597600,41.56,41.65,41.38,41.39
1593601200,41.39,41.54,41.32,41.53
1593604800,41.52,41.59,41.38,41.48
1593608400,41.48,41.94,41.43,41.7
1593612000,41.7,41.81,41.64,41.7
1593615600,41.69,41.88,41.67,41.86
1593619200,41.85,42.04,41.74,41.95
1593622800,41.95,41.95,41.81,41.88
1593626400,41.87,41.92,41.81,41.9
1593630000,41.9,41.95,41.5,41.61
1593633600,41.6,41.94,41.58,41.73
1593637200,41.73,42.0,41.73,41.9
1593640800,41.89,41.92,41.73,41.84
1593644400,41.84,41.88,41.73,41.76
1593648000,41.78,41.9,41.65,41.69
1593651600,41.69,41.83,41.65,41.8
1593655200,41.8,41.85,41.69,41.69
1593658800,41.69,41.75,41.65,41.7
1593662400,41.7,41.75,41.61,41.62
1593666000,41.62,41.76,41.35,41.42
1593669600,41.4,41.55,41.28,41.47
1593673200,41.45,41.61,41.43,41.56
1593676800,41.56,41.63,41.37,41.58
1593680400,41.59,41.64,41.51,41.55
1593684000,41.55,41.57,41.39,41.52
1593687600,41.52,41.52,41.32,41.51
1593691200,41.51,41.84,41.47,41.75
1593694800,41.76,41.89,41.67,41.76
1593698400,41.76,41.82,41.51,41.52
1593702000,41.52,41.54,40.64,40.75
1593705600,40.75,40.95,40.27,40.84
1593709200,40.84,40.97,40.67,40.95
1593712800,40.94,41.03,40.61,40.9
1593716400,40.9,41.07,40.63,40.85
1593720000,40.85,40.97,40.76,40.93
1593723600,40.9,41.38,40.88,41.12
1593727200,41.11,41.26,40.88,40.98
1593730800,40.98,41.13,40.88,41.04
1593734400,41.03,41.09,40.89,41.06
1593738000,41.04,41.41,41.01,41.34
1593741600,41.34,41.36,41.16,41.16
1593745200,41.16,41.26,41.1,41.16
1593748800,41.15,41.25,41.08,41.21
1593752400,41.21,41.35,41.03,41.32
1593756000,41.32,41.57,41.24,41.27
1593759600,41.27,41.46,41.23,41.38
1593763200,41.38,41.72,41.38,41.45
1593766800,41.45,41.62,41.08,41.29
1593770400,41.29,41.47,41.21,41.36
1593774000,41.35,41.45,41.29,41.39
1593777600,41.39,41.53,41.26,41.38
1593781200,41.38,41.62,41.38,41.47
1593784800,41.47,41.56,41.25,41.34
1593788400,41.34,41.49,41.34,41.44
1593792000,41.44,41.65,41.35,41.4
1593795600,41.4,41.5,41.35,41.36
1593799200,41.35,41.43,41.26,41.31
1593802800,41.32,41.35,41.23,41.33
1593806400,41.34,41.43,41.27,41.39
1593810000,41.39,41.4,41.3,41.35
1593813600,41.37,41.38,41.2,41.22
1593817200,41.22,41.23,40.94,41.16
1593820800,41.15,41.36,41.06,41.26
1593824400,41.27,41.42,41.16,41.38
1593828000,41.39,41.9,41.35,41.68
1593831600,41.68,41.75,41.58,41.65
1593835200,41.63,41.75,41.55,41.59
1593838800,41.59,41.73,41.51,41.67
1593842400,41.67,41.72,41.51,41.56
1593846000,41.57,41.66,41.5,41.54
1593849600,41.52,41.6,41.49,41.58
1593853200,41.58,41.59,41.49,41.56
1593856800,41.56,41.6,41.44,41.53
1593860400,41.53,41.69,41.51,41.59
1593864000,41.57,41.85,41.49,41.73
1593867600,41.74,41.87,41.72,41.8
1593871200,41.8,41.85,41.64,41.65
1593874800,41.67,41.71,41.32,41.53
1593878400,41.53,41.61,41.46,41.57
1593882000,41.57,42.25,41.53,42.11
1593885600,42.09,42.24,41.9,41.98
1593889200,41.99,42.01,41.81,41.98
1593892800,41.98,42.1,41.85,41.89
1593896400,41.89,41.98,41.77,41.9
1593900000,41.92,42.21,41.91,42.03
1593903600,42.03,42.16,41.97,42.14
1593907200,42.14,42.23,41.98,41.98
1593910800,41.99,42.1,41.93,42.03
1593914400,42.0,42.05,41.77,41.83
1593918000,41.83,41.94,41.77,41.85
1593921600,41.85,41.91,41.68,41.8
1593925200,41.81,41.81,41.37,41.47
1593928800,41.47,41.63,41.4,41.46
1593932400,41.44,41.56,41.4,41.52
1593936000,41.52,41.62,41.45,41.56
1593939600,41.56,41.59,41.13,41.27
1593943200,41.27,41.45,41.04,41.36
1593946800,41.36,41.64,41.34,41.53
1593950400,41.54,41.59,41.29,41.54
1593954000,41.54,41.54,41.33,41.34
1593957600,41.34,41.48,41.24,41.46
1593961200,41.46,41.67,41.35,41.41
1593964800,41.39,41.53,41.27,41.36
1593968400,41.36,41.44,41.3,41.39
1593972000,41.39,41.45,41.36,41.42
1593975600,41.42,41.5,41.3,41.37
1593979200,41.37,41.46,41.3,41.36
1593982800,41.36,41.37,40.72,41.32
1593986400,41.33,41.84,41.28,41.63
1593990000,41.64,41.77,41.53,41.6
1593993600,41.59,41.69,41.52,41.59
1593997200,41.57,41.84,41.57,41.79
1594000800,41.81,41.97,41.71,41.75
1594004400,41.75,41.82,41.67,41.75
1594008000,41.75,41.88,41.74,41.76
1594011600,41.76,41.9,41.68,41.9
1594015200,41.9,42.52,41.87,42.48
1594018800,42.5,42.7,42.25,42.38
1594022400,42.38,42.52,42.32,42.45
1594026000,42.45,42.5,42.32,42.48
1594029600,42.48,42.55,42.33,42.48
1594033200,42.48,42.94,42.46,42.87
1594036800,42.87,43.3,42.69,43.2
1594040400,43.22,43.26,43.0,43.14
1594044000,43.14,43.22,42.99,43.22
1594047600,43.22,44.04,43.1,43.95
1594051200,43.92,44.12,43.64,43.76
1594054800,43.76,43.77,43.59,43.64
1594058400,43.63,43.73,43.48,43.52
1594062000,43.52,43.66,43.39,43.54
