datetime,open,high,low,close
1577836800,0.19285,0.19297,0.19219,0.19248
1577840400,0.19243,0.19372,0.19237,0.19371
1577844000,0.19371,0.19454,0.19325,0.19418
1577847600,0.19419,0.19427,0.19371,0.19397
1577851200,0.19397,0.1941,0.19351,0.19363
1577854800,0.19363,0.1944,0.19363,0.19429
1577858400,0.19429,0.19526,0.19422,0.19474
1577862000,0.19473,0.19498,0.19421,0.19438
1577865600,0.19438,0.19445,0.19358,0.19415
1577869200,0.19415,0.19445,0.19356,0.19365
1577872800,0.19365,0.19443,0.19365,0.19418
1577876400,0.19415,0.19468,0.19326,0.19358
1577880000,0.19358,0.19437,0.1935,0.19436
1577883600,0.19436,0.19449,0.19394,0.194
1577887200,0.194,0.19457,0.19363,0.19384
1577890800,0.19384,0.19488,0.19374,0.19394
1577894400,0.19394,0.1946,0.1938,0.19445
1577898000,0.19445,0.19483,0.19409,0.19455
1577901600,0.19447,0.19465,0.19392,0.19442
1577905200,0.19442,0.19442,0.1939,0.19395
1577908800,0.19392,0.19419,0.1938,0.19393
1577912400,0.19395,0.19422,0.19374,0.19403
1577916000,0.19403,0.19403,0.19276,0.19283
1577919600,0.19281,0.19316,0.19226,0.19305
1577923200,0.19304,0.19304,0.19246,0.19292
1577926800,0.19292,0.19298,0.19236,0.19238
1577930400,0.19239,0.19239,0.19174,0.19208
1577934000,0.19208,0.19208,0.19045,0.19093
1577937600,0.19089,0.19163,0.19061,0.19101
1577941200,0.19102,0.19146,0.19094,0.19124
1577944800,0.19122,0.19147,0.191,0.19127
1577948400,0.19122,0.19124,0.19041,0.19081
1577952000,0.1908,0.19196,0.19064,0.19195
1577955600,0.19195,0.1923,0.19168,0.19219
1577959200,0.1922,0.19227,0.19155,0.19159
1577962800,0.19159,0.19176,0.1911,0.19142
1577966400,0.19135,0.19173,0.1912,0.19142
1577970000,0.19136,0.1915,0.19015,0.19092
1577973600,0.19091,0.19145,0.19059,0.19102
1577977200,0.19102,0.19131,0.1903,0.19054
1577980800,0.19053,0.19083,0.18834,0.18864
1577984400,0.1886,0.18864,0.18508,0.18823
1577988000,0.18824,0.18854,0.18775,0.18813
1577991600,0.18811,0.18815,0.18723,0.18807
1577995200,0.18806,0.18814,0.18671,0.18705
1577998800,0.18705,0.18795,0.18695,0.18771
1578002400,0.18771,0.18807,0.187,0.18802
1578006000,0.18802,0.18808,0.18711,0.1875
1578009600,0.1875,0.1875,0.1856,0.18591
1578013200,0.18593,0.18594,0.1845,0.18472
1578016800,0.1848,0.18666,0.18455,0.1865
1578020400,0.1865,0.18658,0.186,0.18618
1578024000,0.18619,0.19185,0.18611,0.19045
1578027600,0.19042,0.19151,0.19007,0.19134
1578031200,0.19133,0.19135,0.18977,0.19033
