,hold,roi per trade
0,0.0,0.0
1,18180.0,-0.0229
2,14040.0,0.0235
3,12600.0,-0.1242
4,18180.0,-0.0212
5,3780.0,0.0245
6,5400.0,0.0059
7,7200.0,0.0037
8,540.0,0.0139
9,9900.0,-0.0068
10,6300.0,0.0161
11,17460.0,0.0077
12,3060.0,0.0122
13,10620.0,-0.0032
14,6660.0,0.0219
15,12240.0,0.0194
16,360.0,0.0065
17,14400.0,0.005
18,18180.0,-0.0526
19,8460.0,0.0114
20,18180.0,-0.0426
21,18180.0,0.002
22,18180.0,-0.0777
23,8280.0,0.0425
24,18180.0,-0.0323
25,3960.0,0.003
26,3060.0,0.0178
27,16740.0,-0.0368
28,18180.0,0.0007
29,15120.0,-0.0038
30,3600.0,0.0096
31,10800.0,-0.0154
32,9000.0,0.0071
33,5040.0,0.0013
34,18180.0,-0.0094
35,4500.0,0.0181
