BT_desc,startdate,enddate,starting bal,ending bal,roi %,avgroipertrade,annualized Sharpe,wins%,losses%,n scalps,wins(max/min/avg),losses(MAX/min/avg),price chg,vola
LTCUSDT asset_type:futures strategy:fill out later floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-100 willrEMA_short_entry:0,2020-03-08 09:57:00,2020-04-21 21:45:00,10000,9000.952555141681,-10.0%,-0.0002,-1.37,0.69,0.31,85,0.036/0/0.009,-0.0991/0/-0.0206,-32.02%,0.152
ADAUSDT asset_type:futures strategy:fill out later floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-100 willrEMA_short_entry:0,2020-03-07 20:03:00,2020-04-22 23:06:00,10000,11181.298926326019,11.8%,0.0021,1.74,0.70,0.30,101,0.0568/0/0.0109,-0.0727/0/-0.0185,-28.02%,0.176
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-100 willrEMA_short_entry:0,2020-04-28 00:03:00,2020-06-26 21:45:00,10000,10171.2567888668,1.7%,0.0010,0.29,0.70,0.30,114,0.0274/0/0.0068,-0.055/0/-0.0124,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-40 willrEMA_short_entry:-60,2020-04-29 15:21:00,2020-06-24 12:36:00,10000,10101.843348243683,1.0%,0.0013,3.48,0.74,0.26,19,0.0164/0/0.0066,-0.0325/0/-0.0122,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0 willrema_long_entry:-40 willrEMA_short_entry:-60,2020-04-29 15:21:00,2020-06-24 12:36:00,10000,9987.356962028402,-0.1%,0.0009,1.13,0.73,0.27,44,0.0252/0/0.0075,-0.0596/0/-0.016,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-30 willrEMA_short_entry:-70,2020-05-12 15:06:00,2020-05-31 02:54:00,10000,10080.672601634285,0.8%,0.0032,8.14,1.00,0.00,2,0.0071/0/0.0032,0/0/0.0,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-30 willrEMA_short_entry:-70,2020-05-12 15:06:00,2020-05-31 02:54:00,10000,10080.672601634285,0.8%,0.0032,8.14,1.00,0.00,2,0.0071/0/0.0032,0/0/0.0,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-30 willrEMA_short_entry:-70,2020-05-12 15:06:00,2020-05-31 02:54:00,10000,10080.672601634285,0.8%,0.0032,8.14,1.00,0.00,2,0.0071/0/0.0032,0/0/0.0,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-100 willrEMA_short_entry:0,2020-04-28 00:03:00,2020-06-26 21:45:00,10000,10171.2567888668,1.7%,0.0010,0.29,0.70,0.30,114,0.0274/0/0.0068,-0.055/0/-0.0124,88.19%,0.233
ADAUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.5 willrema_long_entry:-100 willrEMA_short_entry:0,2020-04-28 00:03:00,2020-06-26 21:45:00,10000,10171.2567888668,1.7%,0.0010,0.29,0.70,0.30,114,0.0274/0/0.0068,-0.055/0/-0.0124,88.19%,0.233
