time_candle,symbol,position,action,price,balance
1617981607,LTCUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.75 willrema_long_entry:-50 willrEMA_short_entry:-50,,,,10000
1617981964,LTCUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.75 willrema_long_entry:-50 willrEMA_short_entry:-50,,,,10000
1615091040,,Long,Open,49440.41,
1615099320,,Long,Close,49469.78,9997.93573232908
1615221900,,Long,Open,50797.95,
1615227300,,Long,Close,51025.89,10034.764120397953
1615263300,,Long,Open,53718.6,
1615267080,,Long,Close,54341.82,10143.062173933524
1615398120,,Long,Open,56599.98,
1615401540,,Long,Close,57152.21,10233.831543265194
1615474080,,Long,Open,56632.86,
1615487400,,Long,Close,57252.0,10337.436563440499
1615492980,,Long,Open,57294.67,
1615503780,,Long,Close,58245.97,10500.668364702993
1615670280,,Long,Open,61254.99,
1615676400,,Long,Close,61369.33,10511.85294305563
1615783140,,Long,Open,60240.31,
1615832820,,Long,Close,56378.31,9830.068794381774
1615935600,,Long,Open,56336.0,
1615938840,,Long,Close,56759.97,9896.124082986937
1616038200,,Long,Open,58737.1,
1616040900,,Long,Close,59100.61,9949.402955955715
1616047920,,Long,Open,58838.13,
1616061960,,Long,Close,58668.23,9912.736687823079
1616158980,,Long,Open,58753.05,
1616164740,,Long,Close,58738.99,9902.436211664415
1616368500,,Long,Open,57441.63,
1616379300,,Long,Close,56810.84,9785.858560345318
1616454360,,Short,Open,54799.99,
1616457600,,Short,Close,53937.85,9931.862578122293
1616525460,,Long,Open,55581.94,
1616567580,,Long,Close,54676.44,9762.24394525049
1616581260,,Long,Open,56204.02,
1616587200,,Long,Close,56946.85,9883.355289893801
1616593860,,Long,Open,56716.71,
1616607180,,Long,Close,56274.52,9798.4549891609
1616649840,,Short,Open,52800.0,
1616658480,,Short,Close,52513.21,9843.795218109275
1616742360,,Long,Open,52483.54,
1616743980,,Long,Close,53018.91,9936.253669115767
1616748840,,Long,Open,53295.76,
1616770440,,Long,Close,53401.46,9947.995196969701
1616774760,,Long,Open,53387.95,
1616775300,,Long,Close,53653.16,9989.414931269343
1616868720,,Long,Open,55883.84,
1616881140,,Long,Close,56073.49,10015.296822261653
1617017040,,Long,Open,57794.27,
1617019560,,Long,Close,58304.01,10095.547889180869
1617023520,,Long,Open,57943.96,
1617037740,,Long,Close,58211.64,10134.071896506459
1617110100,,Long,Open,59110.51,
1617124680,,Long,Close,58939.21,10096.619980270205
1617219540,,Long,Open,59204.72,
1617226200,,Long,Close,59394.46,10120.87456743511
1617432120,,Long,Open,59399.82,
1617437340,,Long,Close,59923.24,10201.889757203622
1617983575,LTCUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.75 willrema_long_entry:-50 willrEMA_short_entry:-50 willr_long_entry:-100 willr_short_entry:0,,,,10000
1615091040,,Long,Open,49440.41,
1615099320,,Long,Close,49469.78,9997.93573232908
1615221900,,Long,Open,50797.95,
1615227300,,Long,Close,51025.89,10034.764120397953
1615263300,,Long,Open,53718.6,
1615267080,,Long,Close,54341.82,10143.062173933524
1615398120,,Long,Open,56599.98,
1615401540,,Long,Close,57152.21,10233.831543265194
1615474080,,Long,Open,56632.86,
1615487400,,Long,Close,57252.0,10337.436563440499
1615492980,,Long,Open,57294.67,
