,position,action,datetime,roi per trade,willr_60m_float,willr_ema_60m_float
1,Long,Open,1583661420,,-93.87637203928412,-77.57179957287039
2,Long,Close,1583709120,-0.0991,-84.61944539328628,-79.11098553022819
3,Long,Open,1583746020,,-58.3657403762891,-77.06802902356007
4,Long,Close,1583755200,-0.0083,-68.04083170847612,-75.7383951396173
5,Long,Open,1583761140,,-73.27562517175056,-76.09356115308513
6,Long,Close,1583780580,-0.0212,-52.6467282546123,-74.67716476791315
7,Long,Open,1583790840,,-42.29927714847528,-68.75471431086949
8,Long,Close,1583793540,0.0144,-37.045448251031495,-66.87934551968203
9,Long,Open,1583809200,,-29.727184437446727,-53.1209521950908
10,Long,Close,1583828280,-0.0028,-24.18526281181949,-43.96593149568237
11,Long,Open,1583847900,,-34.53872891354965,-36.63943741765654
12,Long,Close,1583869320,-0.0057,-52.93992582268318,-44.821940625251294
13,Short,Open,1583926200,,-66.95486833608389,-57.573442545649385
14,Short,Close,1583937360,0.0128,-69.96330012868802,-56.84277710798241
15,Long,Open,1584097740,,-25.4611277576416,-56.26406484746786
16,Long,Close,1584101520,0.0312,-18.39775116873185,-54.24101058050564
17,Long,Open,1584111420,,-24.433953830894904,-47.37947427040482
18,Long,Close,1584128880,0.0188,-42.95572261280423,-49.12132661060283
19,Long,Open,1584158760,,-35.75273058784339,-44.853819173047576
20,Long,Close,1584201780,-0.024,-57.29277948846856,-48.64232749257916
21,Short,Open,1584239940,,-67.99216715992789,-52.37251683853436
22,Short,Close,1584243360,0.0069,-71.64600903446895,-53.19908246392308
23,Long,Open,1584256140,,-49.987761187387385,-54.55843111926006
24,Long,Close,1584260820,0.0023,-54.1324343632792,-54.04353594188621
25,Short,Open,1584324720,,-80.33941926688503,-60.29555650830916
26,Short,Close,1584328140,0.0086,-86.03845222775747,-62.830549793062985
27,Long,Open,1584391680,,-44.210178285307336,-59.555381423435705
28,Long,Close,1584401940,0.028,-23.439049823240637,-54.341642300552415
29,Long,Open,1584419040,,-31.25374326212812,-44.86965572155052
30,Long,Close,1584422460,0.0145,-22.92207360085176,-44.272950839091045
31,Long,Open,1584426240,,-26.47234977041324,-42.33552080759171
32,Long,Close,1584429480,0.0167,-12.846875623877064,-40.69828711455577
33,Long,Open,1584434700,,-26.80160000000004,-39.60612067736033
34,Long,Close,1584449460,0.0096,-21.950282609888617,-37.41023222702013
35,Short,Open,1584522720,,-70.02655359972582,-47.51608163814738
36,Short,Close,1584533880,0.0188,-82.7501349163519,-53.98576643613028
37,Long,Open,1584569700,,-28.8216964800923,-44.01106289557653
38,Long,Close,1584576000,0.036,-3.8833490930971633,-37.1528489142751
39,Short,Open,1584678240,,-39.918305597579376,-24.454992407085797
40,Short,Close,1584703800,-0.0704,-33.94275700934582,-26.985160561560345
41,Short,Open,1584726300,,-60.52786070273172,-32.737937109531124
42,Short,Close,1584728640,0.0176,-74.85142643513686,-35.991140164992004
43,Long,Open,1584826740,,-33.89813648119903,-39.33474001909755
44,Long,Close,1584839700,0.001,-35.89081262217263,-40.55299674050093
45,Long,Open,1584856800,,-19.755074969798805,-38.71679308893314
46,Long,Close,1584883440,-0.0488,-56.489359611719095,-44.48401873498319
47,Short,Open,1584883620,,-60.97738303432823,-44.85298612568553
48,Short,Close,1584886860,0.0078,-71.30926882945899,-47.84455003042292
49,Short,Open,1584911160,,-63.73097345132742,-58.71211503591286
50,Short,Close,1584920160,0.0229,-96.12030451409984,-60.89530701000483
51,Long,Open,1584938520,,-54.10363086232975,-58.27063088211746
52,Long,Close,1584943380,0.0066,-54.20658934274677,-58.32851308955309
53,Long,Open,1585131840,,-30.430914524260253,-38.78000234647509
54,Long,Close,1585143540,-0.0247,-43.24149108589948,-47.21868961499438
55,Long,Open,1585185840,,-34.34549157563426,-50.76357618458152
56,Long,Close,1585193400,0.002,-41.19051566904327,-50.06564917905358
57,Short,Open,1585321740,,-71.23308972166068,-56.12337455107491
58,Short,Close,1585324800,0.0063,-86.77888353288748,-60.289262540547846
59,Short,Open,1585327500,,-72.22049447986312,-58.99094600643558
60,Short,Close,1585345680,-0.0099,-41.98303090357333,-57.12990163493525
61,Long,Open,1585345860,,-35.939999999999905,-56.110864816255386
62,Long,Close,1585350900,0.002,-35.09281678773179,-53.76605914074098
63,Long,Open,1585416420,,-50.29532913655096,-61.78751109632985
64,Long,Close,1585419480,0.0199,-32.52377608987037,-60.22385583250425
65,Short,Open,1585472220,,-80.00977517106526,-50.284430715699465
66,Short,Close,1585475460,0.0099,-95.2938388625591,-53.01364642095716
67,Short,Open,1585479420,,-51.89898989899001,-53.02178409441366
68,Short,Close,1585483380,0.0125,-87.30288461538468,-56.2534499085209
69,Long,Open,1585561680,,-16.837499999999938,-51.70424668262426
70,Long,Close,1585564560,0.0055,-9.168750000000044,-49.12503864689407
71,Long,Open,1585691100,,-44.491620111732026,-41.86442407040933
72,Long,Close,1585707840,-0.0074,-73.57751937984493,-48.59797134285479
73,Short,Open,1585708020,,-73.70542635658909,-48.75071799605786
74,Short,Close,1585717560,0.0046,-68.2364341085272,-48.2945850660771
75,Short,Open,1585726380,,-68.65873015873034,-53.657532577800765
76,Short,Close,1585728000,0.0049,-73.52380952380942,-53.844520036249904
77,Long,Open,1585792800,,-29.195081967213135,-50.11182484657594
78,Long,Close,1585799640,0.0089,-24.916393442622915,-47.09833711780599
79,Long,Open,1585804500,,-26.475409836065573,-46.29469959623699
80,Long,Close,1585809000,0.0043,-21.824590163934445,-42.832747733293
81,Short,Open,1585863360,,-71.94782608695645,-40.74346336982275
82,Short,Close,1585870020,0.008,-76.3955992781885,-46.00050319742152
83,Short,Open,1585878300,,-74.31475847740597,-48.99189195821932
84,Short,Close,1585890720,-0.0,-80.4984998846065,-56.558213754871815
85,Long,Open,1585918080,,-49.81462347292297,-46.71530754337066
86,Long,Close,1585933020,-0.0101,-66.83663245084729,-52.20745912145556
87,Short,Open,1585933380,,-66.60061009552223,-52.91148089980572
88,Short,Close,1585946880,-0.0012,-76.53136202712037,-58.09942370538232
89,Short,Open,1585990800,,-38.60294117647018,-57.06572585075041
90,Short,Close,1585999440,-0.0055,-28.806841885690545,-52.92534459211762
91,Short,Open,1586032380,,-68.12645829594105,-55.03421957600372
92,Short,Close,1586052360,-0.0122,-55.48007621572358,-51.60960987308512
93,Short,Open,1586092860,,-67.03784836314937,-62.59677047075151
94,Short,Close,1586098620,0.001,-72.39778854685702,-64.49112410881844
95,Long,Open,1586117700,,-45.99470642251392,-58.48218564114133
96,Long,Close,1586124000,-0.004,-37.61680980932303,-57.36997276579227
97,Long,Open,1586140920,,-32.913587006113524,-50.96728243295605
98,Long,Close,1586145960,0.0047,-12.409891413450085,-46.02512241815087
99,Long,Open,1586157480,,-28.352941176470587,-41.238020124673454
100,Long,Close,1586163780,0.0103,-9.134791003496373,-36.74606812463615
101,Long,Open,1586170260,,-9.252292499412262,-33.14962673150804
102,Long,Close,1586174400,0.0066,-5.619324558718434,-31.973203852996587
103,Long,Open,1586180340,,-22.18969701518669,-30.34974761149767
104,Long,Close,1586185380,0.0054,-16.444432200121128,-28.289213212256843
105,Short,Open,1586286360,,-64.70980019029523,-38.04631295145242
106,Short,Close,1586289060,0.0074,-79.90686274509815,-40.229314502228256
107,Short,Open,1586312280,,-73.05274594510692,-51.88873441608499
108,Short,Close,1586326140,-0.0388,-19.965457685664862,-44.52304333788774
109,Long,Open,1586326860,,-21.7645365572826,-44.04603765109805
110,Long,Close,1586347020,-0.0097,-44.57535088617962,-42.19846557338238
111,Short,Open,1586409300,,-64.72910868017357,-42.09703500641008
112,Short,Close,1586426400,-0.0,-66.57388827755875,-45.84201577272732
113,Long,Open,1586455560,,-33.2189774914231,-40.01882957238086
114,Long,Close,1586465640,0.0024,-19.609237720692747,-39.25377423696112
115,Long,Open,1586474100,,-23.010626725796964,-36.22602892463632
116,Long,Close,1586499480,-0.0549,-77.6811734991258,-48.27998002757678
117,Short,Open,1586499660,,-78.61861278414612,-49.415885367942856
118,Short,Close,1586502180,0.0178,-91.69691871790327,-50.96370612899601
119,Short,Open,1586516040,,-83.72254535984027,-57.34846488678562
120,Short,Close,1586524140,0.011,-90.80014417012072,-61.35764415818828
121,Short,Open,1586535660,,-85.28466927274839,-67.47044482163068
122,Short,Close,1586558520,-0.0151,-43.37500000000012,-60.00639734541672
123,Long,Open,1586559060,,-45.91346153846154,-60.03318024775318
124,Long,Close,1586570040,0.0144,-17.920955525344652,-54.9602448074093
125,Long,Open,1586587140,,-20.81941661099984,-44.97277272374983
126,Long,Close,1586620980,-0.0072,-72.19484724764175,-54.61603967985371
127,Short,Open,1586631600,,-72.11093026167507,-60.915297611261096
128,Short,Close,1586635200,0.0093,-87.12697483908715,-62.60637356144343
129,Long,Open,1586687040,,-56.16379923219116,-55.23609775477016
130,Long,Close,1586691000,0.0061,-36.69064748201439,-54.33655120543848
131,Long,Open,1586705760,,-3.259779338013874,-44.693789547619566
132,Long,Close,1586707020,0.0032,-5.500515177934573,-43.492226693941376
133,Long,Open,1586716200,,-23.235239583609093,-39.80731548313708
134,Long,Close,1586721600,0.0044,-13.906430548464275,-36.38280107120088
135,Long,Open,1586724840,,-22.567382366377277,-36.30888558352377
136,Long,Close,1586753100,-0.0678,-76.92619890256174,-49.35645354391477
137,Short,Open,1586753280,,-77.10315269976296,-48.62546408755934
138,Short,Close,1586763000,0.0005,-78.04354803290603,-54.87406704506469
139,Short,Open,1586772540,,-77.94878733552075,-57.78776988410863
140,Short,Close,1586786220,0.0052,-82.97034898976649,-60.90452867244236
141,Long,Open,1586845620,,-29.54629288085603,-33.48838096660725
142,Long,Close,1586848680,0.0024,-18.15418148445596,-31.935251931317648
143,Short,Open,1586914920,,-64.97726151991672,-42.85827290758524
144,Short,Close,1586940480,-0.0044,-64.26612903225774,-46.09339960516696
145,Short,Open,1586961180,,-68.12378357337504,-55.01235184681975
146,Short,Close,1586965500,0.0069,-86.41105488516936,-58.67384471037062
147,Short,Open,1586972880,,-69.98832230439876,-60.81939441497325
148,Short,Close,1586977200,0.0034,-74.26427678199255,-63.097020453229824
149,Long,Open,1587033720,,-29.53191970916503,-49.77967357838681
150,Long,Close,1587041280,0.0083,-19.42766610555502,-47.05959343912321
151,Long,Open,1587045240,,-25.38582320738969,-45.71428765785618
152,Long,Close,1587052440,0.0064,-20.38210189383839,-42.805930518138815
153,Long,Open,1587060000,,-30.38147628806672,-40.79091524939426
154,Long,Close,1587065760,0.0062,-25.886767942842784,-39.8470202175978
155,Short,Open,1587095640,,-46.86617964469526,-37.97768564556432
156,Short,Close,1587103200,0.0092,-57.11024406441977,-41.378331030526255
157,Short,Open,1587110940,,-57.19734731914525,-45.2292029123876
158,Short,Close,1587122820,-0.0024,-64.43864507882384,-46.809954646955
159,Short,Open,1587202920,,-36.52285995905675,-45.72410548737349
160,Short,Close,1587203640,0.0026,-42.042611266964656,-47.548044177766656
161,Long,Open,1587226860,,-34.311806914546814,-40.75414975297796
162,Long,Close,1587241260,0.0074,-21.344702264467205,-38.09872010531756
163,Short,Open,1587290760,,-65.05263157894755,-48.54714124845395
164,Short,Close,1587303360,0.0079,-90.53149854816311,-53.92727218703882
165,Long,Open,1587359160,,-32.57783703238953,-44.5306189659802
166,Long,Close,1587366900,0.0012,-30.67994667084921,-42.8267984550973
167,Short,Open,1587386700,,-66.49581872133786,-48.17989438255736
168,Short,Close,1587400020,0.0026,-56.82829781494453,-51.4218178735694
169,Long,Open,1587494700,,-36.99402786994005,-55.68333250278559
170,Long,Close,1587505500,0.0002,-25.71333775713336,-51.35178312747271
