datetime,open,high,low,close,volume,end_time,adj_close,completed,open_60m_float,high_60m_float,low_60m_float,close_60m_float,Datetime,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev,willr_60m_float,willr_ema_60m_float,willr_ema_prev_60m_float
1612915200,169.87,170.74,169.85,170.43,1321.856,1612915379999,170.43,True,,,,,2021-02-10 00:00:00,,,,,,,,,,
1612915380,170.37,170.66,169.56,169.8,338.051,1612915559999,169.8,True,,,,,2021-02-10 00:03:00,,,,,170.43,,,,,
1612915560,169.74,170.24,169.55,169.68,377.54,1612915739999,169.68,True,,,,,2021-02-10 00:06:00,,,,,169.8,,,,,
1612915740,169.64,169.89,169.31,169.43,270.402,1612915919999,169.43,True,,,,,2021-02-10 00:09:00,,,,,169.68,,,,,
1612915920,169.48,170.04,169.42,170.04,224.34,1612916099999,170.04,True,,,,,2021-02-10 00:12:00,,,,,169.43,,,,,
1612916100,170.0,170.38,169.97,170.37,148.804,1612916279999,170.37,True,,,,,2021-02-10 00:15:00,,,,,170.04,,,,,
1612916280,170.32,170.56,169.63,169.83,478.07,1612916459999,169.83,True,,,,,2021-02-10 00:18:00,,,,,170.37,,,,,
1612916460,169.83,170.25,169.81,170.2,218.914,1612916639999,170.2,True,,,,,2021-02-10 00:21:00,,,,,169.83,,,,,
1612916640,170.2,170.54,170.18,170.38,248.423,1612916819999,170.38,True,,,,,2021-02-10 00:24:00,,,,,170.2,,,,,
1612916820,170.37,170.55,170.35,170.37,303.894,1612916999999,170.37,True,,,,,2021-02-10 00:27:00,,,,,170.38,,,,,
1612917000,170.32,170.47,170.26,170.39,129.805,1612917179999,170.39,True,,,,,2021-02-10 00:30:00,,,,,170.37,,,,,
1612917180,170.39,170.51,170.25,170.47,202.378,1612917359999,170.47,True,,,,,2021-02-10 00:33:00,,,,,170.39,,,,,
1612917360,170.51,170.74,170.21,170.49,519.601,1612917539999,170.49,True,,,,,2021-02-10 00:36:00,,,,,170.47,,,,,
1612917540,170.55,170.71,170.5,170.61,161.57,1612917719999,170.61,True,,,,,2021-02-10 00:39:00,,,,,170.49,,,,,
1612917720,170.62,170.7,170.35,170.54,221.196,1612917899999,170.54,True,,,,,2021-02-10 00:42:00,,,,,170.61,,,,,
1612917900,170.49,170.76,170.43,170.76,228.364,1612918079999,170.76,True,,,,,2021-02-10 00:45:00,,,,,170.54,,,,,
1612918080,170.77,171.23,170.77,171.07,678.672,1612918259999,171.07,True,,,,,2021-02-10 00:48:00,,,,,170.76,,,,,
1612918260,171.07,171.07,170.65,170.73,332.929,1612918439999,170.73,True,,,,,2021-02-10 00:51:00,,,,,171.07,,,,,
1612918440,170.72,170.72,170.37,170.53,286.271,1612918619999,170.53,True,,,,,2021-02-10 00:54:00,,,,,170.73,,,,,
1612918620,170.59,170.7,170.29,170.54,165.711,1612918799999,170.54,True,169.87,171.23,169.31,170.54,2021-02-10 00:57:00,169.4380930830528,,171.2279069169472,,170.53,,,,,
1612918800,170.56,170.63,170.37,170.61,332.254,1612918979999,170.61,True,170.37,171.23,169.31,170.61,2021-02-10 01:00:00,169.43743599452557,169.4380930830528,171.24656400547445,171.2279069169472,170.54,,,,,
1612918980,170.61,171.03,170.61,170.84,231.831,1612919159999,170.84,True,169.74,171.23,169.31,170.84,2021-02-10 01:03:00,169.50415261982747,169.43743599452557,171.28384738017255,171.24656400547445,170.61,,,,,
1612919160,170.88,171.17,170.82,171.06,209.899,1612919339999,171.06,True,169.64,171.23,169.31,171.06,2021-02-10 01:06:00,169.59748154843476,169.50415261982747,171.3285184515653,171.28384738017255,170.84,,,,,
1612919340,171.06,171.43,170.87,171.43,447.112,1612919519999,171.43,True,169.48,171.43,169.42,171.43,2021-02-10 01:09:00,169.74979142281947,169.59748154843476,171.3762085771805,171.3285184515653,171.06,,,,,
1612919520,171.43,171.74,171.26,171.53,538.066,1612919699999,171.53,True,170.0,171.74,169.63,171.53,2021-02-10 01:12:00,169.73920718164956,169.74979142281947,171.53579281835042,171.3762085771805,171.43,,,,,
1612919700,171.53,171.92,171.53,171.9,193.303,1612919879999,171.9,True,170.32,171.92,169.63,171.9,2021-02-10 01:15:00,169.62835127228004,169.73920718164956,171.79964872771995,171.53579281835042,171.53,,,,,
1612919880,171.91,172.07,171.2,171.25,972.124,1612920059999,171.25,True,169.83,172.07,169.81,171.25,2021-02-10 01:18:00,169.77442543570504,169.62835127228004,171.795574564295,171.79964872771995,171.9,,,,,
1612920060,171.25,171.29,170.42,170.78,1981.976,1612920239999,170.78,True,170.2,172.07,170.18,170.78,2021-02-10 01:21:00,169.85155511326622,169.77442543570504,171.77644488673377,171.795574564295,171.25,,,,,
1612920240,170.78,171.04,170.69,170.93,165.775,1612920419999,170.93,True,170.37,172.07,170.21,170.93,2021-02-10 01:24:00,169.90553069094125,169.85155511326622,171.7774693090588,171.77644488673377,170.78,,,,,
1612920420,170.97,171.28,170.95,171.26,108.147,1612920599999,171.26,True,170.32,172.07,170.21,171.26,2021-02-10 01:27:00,169.9623731489395,169.90553069094125,171.8096268510605,171.7774693090588,170.93,,,,,
1612920600,171.3,172.29,171.3,172.2,755.611,1612920779999,172.2,True,170.39,172.29,170.21,172.2,2021-02-10 01:30:00,169.88042812849704,169.9623731489395,172.07257187150293,171.8096268510605,171.26,,,,,
1612920780,172.2,172.99,172.17,172.94,900.003,1612920959999,172.94,True,170.51,172.99,170.21,172.94,2021-02-10 01:33:00,169.66035799588929,169.88042812849704,172.5396420041107,172.07257187150293,172.2,,,,,
1612920960,172.94,173.47,172.89,173.24,967.249,1612921139999,173.24,True,170.55,173.47,170.29,173.24,2021-02-10 01:36:00,169.4809582875719,169.66035799588929,172.99404171242813,172.5396420041107,172.94,,,,,
1612921140,173.3,173.48,172.37,172.39,916.028,1612921319999,172.39,True,170.62,173.48,170.29,172.39,2021-02-10 01:39:00,169.51246804121317,169.4809582875719,173.1405319587868,172.99404171242813,173.24,,,,,
1612921320,172.39,173.19,172.38,173.08,465.04,1612921499999,173.08,True,170.49,173.48,170.29,173.08,2021-02-10 01:42:00,169.49007209261458,169.51246804121317,173.4169279073854,173.1405319587868,172.39,,,,,
1612921500,173.06,173.51,173.05,173.45,239.307,1612921679999,173.45,True,170.77,173.51,170.29,173.45,2021-02-10 01:45:00,169.42318066804646,169.49007209261458,173.7528193319536,173.4169279073854,173.08,,,,,
1612921680,173.45,173.61,173.35,173.61,279.71,1612921859999,173.61,True,171.07,173.61,170.29,173.61,2021-02-10 01:48:00,169.34612840153798,169.42318066804646,174.08387159846197,173.7528193319536,173.45,,,,,
1612921860,173.62,174.09,173.38,173.45,409.775,1612922039999,173.45,True,170.72,174.09,170.29,173.45,2021-02-10 01:51:00,169.3906567698795,169.34612840153798,174.31134323012049,174.08387159846197,173.61,,,,,
1612922040,173.44,173.94,173.05,173.89,604.788,1612922219999,173.89,True,170.59,174.09,170.29,173.89,2021-02-10 01:54:00,169.46125004935985,169.3906567698795,174.57674995064016,174.31134323012049,173.45,,,,,
1612922220,173.88,174.19,173.24,173.27,1258.396,1612922399999,173.27,True,170.56,174.19,170.37,173.27,2021-02-10 01:57:00,169.64972969378684,169.46125004935985,174.6612703062132,174.57674995064016,173.89,,,,,
1612922400,173.37,173.64,173.17,173.39,279.651,1612922579999,173.39,True,170.61,174.19,170.42,173.39,2021-02-10 02:00:00,169.85564876888736,169.64972969378684,174.73335123111264,174.6612703062132,173.27,,,,,
1612922580,173.43,173.93,173.4,173.87,274.193,1612922759999,173.87,True,170.88,174.19,170.42,173.87,2021-02-10 02:03:00,170.0121652562264,169.85564876888736,174.87983474377359,174.73335123111264,173.39,,,,,
1612922760,173.83,174.36,173.83,174.09,368.495,1612922939999,174.09,True,171.06,174.36,170.42,174.09,2021-02-10 02:06:00,170.1461933305889,170.0121652562264,175.0488066694111,174.87983474377359,173.87,,,,,
1612922940,174.05,174.11,173.37,173.57,391.431,1612923119999,173.57,True,171.43,174.36,170.42,173.57,2021-02-10 02:09:00,170.28831223256566,170.1461933305889,175.12068776743433,175.0488066694111,174.09,,,,,
1612923120,173.55,173.78,173.41,173.61,382.668,1612923299999,173.61,True,171.53,174.36,170.42,173.61,2021-02-10 02:12:00,170.43515770536587,170.28831223256566,175.18184229463415,175.12068776743433,173.57,,,,,
