,hold,roi per trade,change in willr
0,0.0,0.0,0.0
1,7200.0,0.0017,
2,3060.0,0.0046,
3,3240.0,0.0088,
4,5400.0,0.002,
5,1080.0,0.0124,
6,3420.0,0.0062,
7,5760.0,0.0004,
8,10800.0,0.0022,
9,18180.0,0.016,
10,14400.0,0.0019,
11,16740.0,-0.0014,
12,18180.0,-0.0177,
13,6300.0,0.0003,
14,18180.0,-0.0249,
15,7200.0,0.009,
16,18180.0,0.0038,
17,6840.0,0.002,
18,7020.0,0.0063,
19,12060.0,0.009,
20,13680.0,-0.0002,
21,2880.0,0.007,
22,15840.0,0.0017,
23,6300.0,0.0051,
24,4320.0,0.0028,
25,6120.0,-0.0007,
26,16560.0,-0.0029,
27,3060.0,0.0053,
28,5940.0,0.0021,
29,14760.0,0.0022,
30,4680.0,0.0051,
31,7380.0,-0.0019,
32,4140.0,0.0029,
33,3600.0,0.0116,
34,16380.0,-0.005,
35,1620.0,0.0064,
36,9720.0,0.0024,
37,7020.0,0.0087,
38,7020.0,0.0028,
39,7740.0,0.0015,
40,6480.0,0.0021,
41,3240.0,0.0012,
42,180.0,0.0019,
43,10980.0,0.0074,
44,3780.0,0.0044,
45,7920.0,-0.0176,
46,18000.0,-0.0067,
47,4860.0,0.0023,
48,11520.0,-0.0079,
49,4140.0,0.0078,
50,5760.0,-0.0002,
51,8280.0,0.0055,
52,5400.0,0.0011,
53,3600.0,0.0058,
54,7920.0,0.0072,
55,3780.0,0.0078,
56,18180.0,-0.0008,
57,7920.0,-0.0003,
58,3780.0,0.0026,
59,16380.0,0.0012,
60,13500.0,-0.0028,
61,3240.0,0.0028,
62,8640.0,0.0003,
63,10260.0,-0.021,
64,4860.0,0.0053,
65,5040.0,0.0023,
66,15300.0,0.0008,
67,13320.0,0.0041,
68,18180.0,-0.0099,
69,720.0,0.0029,
70,4860.0,0.0037,
71,180.0,0.0024,
72,7740.0,0.0,
73,17460.0,0.0013,
74,4500.0,0.002,
75,3600.0,0.0017,
76,4320.0,0.0021,
77,6840.0,0.0021,
78,18180.0,-0.0048,
79,8100.0,0.0034,
80,4320.0,0.0041,
81,18180.0,-0.0041,
82,2880.0,0.0063,
83,11340.0,-0.0039,
84,1260.0,0.0027,
